image URN	folio URN
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0048	urn:cite:ogl:modena_alfa_t_8_21.folio.24v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0049	urn:cite:ogl:modena_alfa_t_8_21.folio.25r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0050	urn:cite:ogl:modena_alfa_t_8_21.folio.25v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0051	urn:cite:ogl:modena_alfa_t_8_21.folio.26r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0052	urn:cite:ogl:modena_alfa_t_8_21.folio.26v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0053	urn:cite:ogl:modena_alfa_t_8_21.folio.27r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0054	urn:cite:ogl:modena_alfa_t_8_21.folio.27v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0055	urn:cite:ogl:modena_alfa_t_8_21.folio.28r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0056	urn:cite:ogl:modena_alfa_t_8_21.folio.28v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0057	urn:cite:ogl:modena_alfa_t_8_21.folio.29r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0058	urn:cite:ogl:modena_alfa_t_8_21.folio.29v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0059	urn:cite:ogl:modena_alfa_t_8_21.folio.30r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0060	urn:cite:ogl:modena_alfa_t_8_21.folio.30v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0061	urn:cite:ogl:modena_alfa_t_8_21.folio.31r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0062	urn:cite:ogl:modena_alfa_t_8_21.folio.31v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0063	urn:cite:ogl:modena_alfa_t_8_21.folio.32r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0064	urn:cite:ogl:modena_alfa_t_8_21.folio.32v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0065	urn:cite:ogl:modena_alfa_t_8_21.folio.33r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0066	urn:cite:ogl:modena_alfa_t_8_21.folio.33v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0067	urn:cite:ogl:modena_alfa_t_8_21.folio.34r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0068	urn:cite:ogl:modena_alfa_t_8_21.folio.34v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0069	urn:cite:ogl:modena_alfa_t_8_21.folio.35r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0070	urn:cite:ogl:modena_alfa_t_8_21.folio.35v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0071	urn:cite:ogl:modena_alfa_t_8_21.folio.36r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0072	urn:cite:ogl:modena_alfa_t_8_21.folio.36v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0073	urn:cite:ogl:modena_alfa_t_8_21.folio.37r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0074	urn:cite:ogl:modena_alfa_t_8_21.folio.37v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0075	urn:cite:ogl:modena_alfa_t_8_21.folio.38r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0076	urn:cite:ogl:modena_alfa_t_8_21.folio.38v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0077	urn:cite:ogl:modena_alfa_t_8_21.folio.39r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0078	urn:cite:ogl:modena_alfa_t_8_21.folio.39v
