image URN	folio URN
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0066	urn:cite:ogl:paris_grec2373.folio.30r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0067	urn:cite:ogl:paris_grec2373.folio.30v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0068	urn:cite:ogl:paris_grec2373.folio.31r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0069	urn:cite:ogl:paris_grec2373.folio.31v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0070	urn:cite:ogl:paris_grec2373.folio.32r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0071	urn:cite:ogl:paris_grec2373.folio.32v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0072	urn:cite:ogl:paris_grec2373.folio.33r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0073	urn:cite:ogl:paris_grec2373.folio.33v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0074	urn:cite:ogl:paris_grec2373.folio.34r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0075	urn:cite:ogl:paris_grec2373.folio.34v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0076	urn:cite:ogl:paris_grec2373.folio.35r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0077	urn:cite:ogl:paris_grec2373.folio.35v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0078	urn:cite:ogl:paris_grec2373.folio.36r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0079	urn:cite:ogl:paris_grec2373.folio.36v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0080	urn:cite:ogl:paris_grec2373.folio.37r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0081	urn:cite:ogl:paris_grec2373.folio.37v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0082	urn:cite:ogl:paris_grec2373.folio.38r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0083	urn:cite:ogl:paris_grec2373.folio.38v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0084	urn:cite:ogl:paris_grec2373.folio.39r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0085	urn:cite:ogl:paris_grec2373.folio.39v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0086	urn:cite:ogl:paris_grec2373.folio.40r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0087	urn:cite:ogl:paris_grec2373.folio.40v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0088	urn:cite:ogl:paris_grec2373.folio.41r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0089	urn:cite:ogl:paris_grec2373.folio.41v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0090	urn:cite:ogl:paris_grec2373.folio.42r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0091	urn:cite:ogl:paris_grec2373.folio.42v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0092	urn:cite:ogl:paris_grec2373.folio.43r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0093	urn:cite:ogl:paris_grec2373.folio.43v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0094	urn:cite:ogl:paris_grec2373.folio.44r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0095	urn:cite:ogl:paris_grec2373.folio.44v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0096	urn:cite:ogl:paris_grec2373.folio.45r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0097	urn:cite:ogl:paris_grec2373.folio.45v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0098	urn:cite:ogl:paris_grec2373.folio.46r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0099	urn:cite:ogl:paris_grec2373.folio.46v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0100	urn:cite:ogl:paris_grec2373.folio.47r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0101	urn:cite:ogl:paris_grec2373.folio.47v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0102	urn:cite:ogl:paris_grec2373.folio.48r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0103	urn:cite:ogl:paris_grec2373.folio.48v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0104	urn:cite:ogl:paris_grec2373.folio.49r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0105	urn:cite:ogl:paris_grec2373.folio.49v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0106	urn:cite:ogl:paris_grec2373.folio.50r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0107	urn:cite:ogl:paris_grec2373.folio.50v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0108	urn:cite:ogl:paris_grec2373.folio.51r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0109	urn:cite:ogl:paris_grec2373.folio.51v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0110	urn:cite:ogl:paris_grec2373.folio.52r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0111	urn:cite:ogl:paris_grec2373.folio.52v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0112	urn:cite:ogl:paris_grec2373.folio.53r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0113	urn:cite:ogl:paris_grec2373.folio.53v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0114	urn:cite:ogl:paris_grec2373.folio.54r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0115	urn:cite:ogl:paris_grec2373.folio.54v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0116	urn:cite:ogl:paris_grec2373.folio.55r
