image URN	page URN
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0079	urn:cite:ogl:1883grclat1_v2.page.52
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0080	urn:cite:ogl:1883grclat1_v2.page.53
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0081	urn:cite:ogl:1883grclat1_v2.page.54
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0082	urn:cite:ogl:1883grclat1_v2.page.55
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0083	urn:cite:ogl:1883grclat1_v2.page.56
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0084	urn:cite:ogl:1883grclat1_v2.page.57
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0085	urn:cite:ogl:1883grclat1_v2.page.58
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0086	urn:cite:ogl:1883grclat1_v2.page.59
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0087	urn:cite:ogl:1883grclat1_v2.page.60
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0088	urn:cite:ogl:1883grclat1_v2.page.61
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0089	urn:cite:ogl:1883grclat1_v2.page.62
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0090	urn:cite:ogl:1883grclat1_v2.page.63
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0091	urn:cite:ogl:1883grclat1_v2.page.64
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0092	urn:cite:ogl:1883grclat1_v2.page.65
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0093	urn:cite:ogl:1883grclat1_v2.page.66
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0094	urn:cite:ogl:1883grclat1_v2.page.67
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0095	urn:cite:ogl:1883grclat1_v2.page.68
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0096	urn:cite:ogl:1883grclat1_v2.page.69
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0097	urn:cite:ogl:1883grclat1_v2.page.70
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0098	urn:cite:ogl:1883grclat1_v2.page.71
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0099	urn:cite:ogl:1883grclat1_v2.page.72
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0100	urn:cite:ogl:1883grclat1_v2.page.73
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0101	urn:cite:ogl:1883grclat1_v2.page.74
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0102	urn:cite:ogl:1883grclat1_v2.page.75
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0103	urn:cite:ogl:1883grclat1_v2.page.76
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0104	urn:cite:ogl:1883grclat1_v2.page.77
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0105	urn:cite:ogl:1883grclat1_v2.page.78
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0106	urn:cite:ogl:1883grclat1_v2.page.79
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0107	urn:cite:ogl:1883grclat1_v2.page.80
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0108	urn:cite:ogl:1883grclat1_v2.page.81
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0109	urn:cite:ogl:1883grclat1_v2.page.82
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0110	urn:cite:ogl:1883grclat1_v2.page.83
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0111	urn:cite:ogl:1883grclat1_v2.page.84
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0112	urn:cite:ogl:1883grclat1_v2.page.85
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0113	urn:cite:ogl:1883grclat1_v2.page.86
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0114	urn:cite:ogl:1883grclat1_v2.page.87
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0115	urn:cite:ogl:1883grclat1_v2.page.88
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0116	urn:cite:ogl:1883grclat1_v2.page.89
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0117	urn:cite:ogl:1883grclat1_v2.page.90
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0118	urn:cite:ogl:1883grclat1_v2.page.91
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0119	urn:cite:ogl:1883grclat1_v2.page.92
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0120	urn:cite:ogl:1883grclat1_v2.page.93
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0121	urn:cite:ogl:1883grclat1_v2.page.94
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0122	urn:cite:ogl:1883grclat1_v2.page.95
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0123	urn:cite:ogl:1883grclat1_v2.page.96
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0124	urn:cite:ogl:1883grclat1_v2.page.97
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0125	urn:cite:ogl:1883grclat1_v2.page.98
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0126	urn:cite:ogl:1883grclat1_v2.page.99
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0127	urn:cite:ogl:1883grclat1_v2.page.100
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0128	urn:cite:ogl:1883grclat1_v2.page.101
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0129	urn:cite:ogl:1883grclat1_v2.page.102
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0130	urn:cite:ogl:1883grclat1_v2.page.103
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0131	urn:cite:ogl:1883grclat1_v2.page.104
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0132	urn:cite:ogl:1883grclat1_v2.page.105
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0133	urn:cite:ogl:1883grclat1_v2.page.106
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0134	urn:cite:ogl:1883grclat1_v2.page.107
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0135	urn:cite:ogl:1883grclat1_v2.page.108
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0136	urn:cite:ogl:1883grclat1_v2.page.109
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0137	urn:cite:ogl:1883grclat1_v2.page.110
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0138	urn:cite:ogl:1883grclat1_v2.page.111
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0139	urn:cite:ogl:1883grclat1_v2.page.112
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0140	urn:cite:ogl:1883grclat1_v2.page.113
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0141	urn:cite:ogl:1883grclat1_v2.page.114
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0142	urn:cite:ogl:1883grclat1_v2.page.115
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0143	urn:cite:ogl:1883grclat1_v2.page.116
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0144	urn:cite:ogl:1883grclat1_v2.page.117
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0145	urn:cite:ogl:1883grclat1_v2.page.118
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0146	urn:cite:ogl:1883grclat1_v2.page.119
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0147	urn:cite:ogl:1883grclat1_v2.page.120
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0148	urn:cite:ogl:1883grclat1_v2.page.121
