image URN	page URN
urn:cite:ogl:1482lat1.img.ratdolt_1482_v1_1_0056	urn:cite:ogl:1482lat1.page.51
urn:cite:ogl:1482lat1.img.ratdolt_1482_v1_1_0057	urn:cite:ogl:1482lat1.page.52
urn:cite:ogl:1482lat1.img.ratdolt_1482_v1_1_0058	urn:cite:ogl:1482lat1.page.53
urn:cite:ogl:1482lat1.img.ratdolt_1482_v1_1_0059	urn:cite:ogl:1482lat1.page.54
urn:cite:ogl:1482lat1.img.ratdolt_1482_v1_1_0060	urn:cite:ogl:1482lat1.page.55
urn:cite:ogl:1482lat1.img.ratdolt_1482_v1_1_0061	urn:cite:ogl:1482lat1.page.56
urn:cite:ogl:1482lat1.img.ratdolt_1482_v1_1_0062	urn:cite:ogl:1482lat1.page.57
urn:cite:ogl:1482lat1.img.ratdolt_1482_v1_1_0063	urn:cite:ogl:1482lat1.page.58
urn:cite:ogl:1482lat1.img.ratdolt_1482_v1_1_0064	urn:cite:ogl:1482lat1.page.59
urn:cite:ogl:1482lat1.img.ratdolt_1482_v1_1_0065	urn:cite:ogl:1482lat1.page.60
urn:cite:ogl:1482lat1.img.ratdolt_1482_v1_1_0066	urn:cite:ogl:1482lat1.page.61
urn:cite:ogl:1482lat1.img.ratdolt_1482_v1_1_0067	urn:cite:ogl:1482lat1.page.62
urn:cite:ogl:1482lat1.img.ratdolt_1482_v1_1_0068	urn:cite:ogl:1482lat1.page.63
urn:cite:ogl:1482lat1.img.ratdolt_1482_v1_1_0069	urn:cite:ogl:1482lat1.page.64
urn:cite:ogl:1482lat1.img.ratdolt_1482_v1_1_0070	urn:cite:ogl:1482lat1.page.65
urn:cite:ogl:1482lat1.img.ratdolt_1482_v1_1_0071	urn:cite:ogl:1482lat1.page.66
urn:cite:ogl:1482lat1.img.ratdolt_1482_v1_1_0072	urn:cite:ogl:1482lat1.page.67
urn:cite:ogl:1482lat1.img.ratdolt_1482_v1_1_0073	urn:cite:ogl:1482lat1.page.68
urn:cite:ogl:1482lat1.img.ratdolt_1482_v1_1_0074	urn:cite:ogl:1482lat1.page.69
urn:cite:ogl:1482lat1.img.ratdolt_1482_v1_1_0075	urn:cite:ogl:1482lat1.page.70
urn:cite:ogl:1482lat1.img.ratdolt_1482_v1_1_0076	urn:cite:ogl:1482lat1.page.71
urn:cite:ogl:1482lat1.img.ratdolt_1482_v1_1_0077	urn:cite:ogl:1482lat1.page.72
urn:cite:ogl:1482lat1.img.ratdolt_1482_v1_1_0078	urn:cite:ogl:1482lat1.page.73
urn:cite:ogl:1482lat1.img.ratdolt_1482_v1_1_0079	urn:cite:ogl:1482lat1.page.74
urn:cite:ogl:1482lat1.img.ratdolt_1482_v1_1_0080	urn:cite:ogl:1482lat1.page.75
urn:cite:ogl:1482lat1.img.ratdolt_1482_v1_1_0081	urn:cite:ogl:1482lat1.page.76
urn:cite:ogl:1482lat1.img.ratdolt_1482_v1_1_0082	urn:cite:ogl:1482lat1.page.77
