Temp ID	Image Path	Image Width	Image Height	X Offset	Y Offset	X Width	Y Height
5-6	paris_grec2373_0163.png	1024	1557	225	490	725	152
6-2	paris_grec2373_0180.png	1024	1557	40	651	735	155
1-25	paris_grec2373_0083.png	1024	1565	244	966	730	152
2-9	paris_grec2373_0113.png	1024	1570	245	192	725	117
4-5	paris_grec2373_0148.png	1024	1574	48	440	556	58
5-24	paris_grec2373_0178.png	1024	1556	47	133	735	131
3-17	paris_grec2373_0131.png	1024	1563	237	258	726	85
5-23	paris_grec2373_0177.png	1024	1545	247	105	723	139
1-35	paris_grec2373_0100.png	1024	1565	43	159	605	84
3-27	paris_grec2373_0136.png	1024	1570	40	381	726	119
7-7	paris_grec2373_0214.png	1024	1550	56	1169	722	120
7-4	paris_grec2373_0213.png	1024	1538	226	663	718	88
3-8	paris_grec2373_0123.png	1024	1562	224	527	732	385
3-30	paris_grec2373_0137.png	1024	1578	384	955	460	57
6-21	paris_grec2373_0197.png	1024	1544	327	974	569	85
5-4	paris_grec2373_0161.png	1024	1559	233	999	717	188
6-10	paris_grec2373_0187.png	1024	1551	379	1151	574	75
1-47	paris_grec2373_0105.png	1024	1567	208	418	762	141
5-15	paris_grec2373_0171.png	1024	1556	239	921	726	82
7-6	paris_grec2373_0214.png	1024	1550	58	644	722	119
4-14	paris_grec2373_0155.png	1024	1559	230	859	725	74
2-12	paris_grec2373_0116.png	1024	1581	45	522	733	231
3-6	paris_grec2373_0121.png	1024	1576	229	955	742	71
6-29	paris_grec2373_0204.png	1024	1550	31	753	745	101
4-4	paris_grec2373_0147.png	1024	1560	222	134	470	55
1-38	paris_grec2373_0101.png	1024	1567	234	352	726	79
2-3	paris_grec2373_0107.png	1024	1563	242	1068	722	152
5-21	paris_grec2373_0175.png	1024	1554	251	995	717	182
6-28	paris_grec2373_0203.png	1024	1533	380	451	577	238
1-28	paris_grec2373_0096.png	1024	1565	35	548	712	148
1-12	paris_grec2373_0087.png	1024	1568	233	412	727	90
1-36	paris_grec2373_0100.png	1024	1565	35	618	721	76
2-6	paris_grec2373_0110.png	1024	1570	41	665	865	167
6-5	paris_grec2373_0183.png	1024	1550	220	362	718	108
5-9	paris_grec2373_0168.png	1024	1570	48	274	715	111
1-18	paris_grec2373_0090.png	1024	1562	50	258	702	78
3-37	paris_grec2373_0144.png	1024	1571	42	419	732	225
3-1	paris_grec2373_0119.png	1024	1559	223	392	484	59
3-31	paris_grec2373_0138.png	1024	1576	35	217	743	157
3-18	paris_grec2373_0131.png	1024	1563	374	845	584	133
6-20	paris_grec2373_0194.png	1024	1556	30	852	734	146
1-23	paris_grec2373_0082.png	1024	1556	46	664	712	86
4-1	paris_grec2373_0145.png	1024	1565	248	651	713	81
3-28	paris_grec2373_0136.png	1024	1570	42	1018	312	173
7-8_2	paris_grec2373_0216.png	1024	1534	53	113	715	94
7-1_2	paris_grec2373_0211.png	1024	1533	256	140	248	35
6-15	paris_grec2373_0190.png	1024	1556	30	513	712	149
5-3	paris_grec2373_0160.png	1024	1579	52	1252	724	52
3-24	paris_grec2373_0134.png	1024	1576	33	391	556	75
1-27	paris_grec2373_0095.png	1024	1560	242	1212	748	90
1-3	paris_grec2373_0092.png	1024	1560	36	549	704	106
5-19	paris_grec2373_0174.png	1024	1554	48	506	709	80
1-11	paris_grec2373_0086.png	1024	1563	49	1046	721	84
6-4	paris_grec2373_0182.png	1024	1560	33	552	739	124
3-29	paris_grec2373_0137.png	1024	1578	449	578	527	83
3-4	paris_grec2373_0120.png	1024	1574	53	1255	534	69
1-9	paris_grec2373_0086.png	1024	1563	46	393	556	80
3-2	paris_grec2373_0119.png	1024	1559	225	979	734	119
5-5	paris_grec2373_0162.png	1024	1574	47	961	721	131
5-11	paris_grec2373_0169.png	1024	1556	230	171	609	51
4-10	paris_grec2373_0151.png	1024	1559	233	684	717	90
5-13	paris_grec2373_0170.png	1024	1568	46	462	723	155
2-14	paris_grec2373_0117.png	1024	1559	212	1062	651	83
4-11	paris_grec2373_0152.png	1024	1576	42	594	723	62
1-32	paris_grec2373_0098.png	1024	1565	39	314	732	119
2-1_2	paris_grec2373_0107.png	1024	1563	260	107	703	56
3-36	paris_grec2373_0143.png	1024	1568	242	223	735	184
3-25	paris_grec2373_0134.png	1024	1576	45	989	727	81
3-12	paris_grec2373_0127.png	1024	1562	237	481	717	84
1-30	paris_grec2373_0097.png	1024	1581	249	834	629	59
1-10	paris_grec2373_0086.png	1024	1563	59	755	580	55
7-1	paris_grec2373_0210.png	1024	1550	42	1168	713	130
3-5	paris_grec2373_0121.png	1024	1576	232	627	730	60
6-30	paris_grec2373_0205.png	1024	1533	231	417	713	67
1-29	paris_grec2373_0096.png	1024	1565	29	1161	761	138
4-9	paris_grec2373_0151.png	1024	1559	211	146	558	49
4-8	paris_grec2373_0150.png	1024	1574	44	536	517	56
6-33	paris_grec2373_0207.png	1024	1533	241	896	711	111
1-17	paris_grec2373_0089.png	1024	1568	231	1014	732	91
6-8	paris_grec2373_0186.png	1024	1554	31	649	739	118
1-45	paris_grec2373_0104.png	1024	1567	34	219	724	79
3-3	paris_grec2373_0120.png	1024	1574	50	469	712	119
3-10	paris_grec2373_0125.png	1024	1562	239	1211	622	60
3-15	paris_grec2373_0129.png	1024	1563	231	517	740	91
3-33	paris_grec2373_0140.png	1024	1576	39	357	704	124
6-25	paris_grec2373_0201.png	1024	1533	225	124	718	79
1-24_2	paris_grec2373_0083.png	1024	1565	265	124	690	83
4-13	paris_grec2373_0154.png	1024	1573	44	663	711	81
6-23	paris_grec2373_0199.png	1024	1533	234	291	705	77
1-21	paris_grec2373_0091.png	1024	1568	235	247	721	149
1-14	paris_grec2373_0088.png	1024	1556	57	373	726	121
1-26	paris_grec2373_0094.png	1024	1565	47	472	707	228
