Current Perseus ID	Numbering in work	Folio	Link	Temp PNG File	PDF Page	Coords
Euc. 3.Prop.1	3.prop.	56v	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f118.image.r=euclide.langEN		119	
Euc. 3.Prop.2	3.prop.	56v	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f118.image.r=euclide.langEN		119	
Euc. 3.Prop.3	3.prop.	57r	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f119.image.r=euclide.langEN		120	
Euc. 3.Prop.4	3.prop.	57r	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f119.image.r=euclide.langEN		120	
Euc. 3.Prop.4	3.prop.	57v	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f120.image.r=euclide.langEN		121	
Euc. 3.Prop.5	3.prop.	57v	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f120.image.r=euclide.langEN		121	
Euc. 3.Prop.6	3.prop.	57v	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f120.image.r=euclide.langEN		121	
Euc. 3.Prop.7	3.prop.	58r	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f121.image.r=euclide.langEN		122	
Euc. 3.Prop.8	3.prop.	58v	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f122.image.r=euclide.langEN		123	
Euc. 3.Prop.9	3.prop.	59v	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f124.image.r=euclide.langEN		125	
Euc. 3.Prop.10	3.prop.	59v	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f124.image.r=euclide.langEN		125	
Euc. 3.Prop.11	3.prop.	60r	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f125.image.r=euclide.langEN		126	
Euc. 3.Prop.12	3.prop.	60v	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f126.image.r=euclide.langEN		127	
Euc. 3.Prop.13	3.prop.	60v	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f126.image.r=euclide.langEN		127	
Euc. 3.Prop.14	3.prop.	61r	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f127.image.r=euclide.langEN		128	
Euc. 3.Prop.15	3.prop.	61v	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f128.image.r=euclide.langEN		129	
Euc. 3.Prop.16	3.prop.	61v	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f128.image.r=euclide.langEN		129	
Euc. 3.Prop.17	3.prop.	62v	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f130.image.r=euclide.langEN		131	
Euc. 3.Prop.18	3.prop.	62v	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f130.image.r=euclide.langEN		131	
Euc. 3.Prop.19	3.prop.	63r	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f131.image.r=euclide.langEN		132	
Euc. 3.Prop.20	3.prop.	63r	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f131.image.r=euclide.langEN		132	
Euc. 3.Prop.21	3.prop.	63v	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f132.image.r=euclide.langEN		133	
Euc. 3.Prop.22	3.prop.	63v	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f132.image.r=euclide.langEN		133	
Euc. 3.Prop.23	3.prop.	63v	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f132.image.r=euclide.langEN		133	
Euc. 3.Prop.24	3.prop.	64r	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f133.image.r=euclide.langEN		134	
Euc. 3.Prop.25	3.prop.	64r	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f133.image.r=euclide.langEN		134	
Euc. 3.Prop.26	3.prop.	64v	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f134.image.r=euclide.langEN		135	
Euc. 3.Prop.27	3.prop.	65r	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f135.image.r=euclide.langEN		136	
Euc. 3.Prop.28	3.prop.	65r	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f135.image.r=euclide.langEN		136	
Euc. 3.Prop.29	3.prop.	65v	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f136.image.r=euclide.langEN		137	
Euc. 3.Prop.30	3.prop.	65v	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f136.image.r=euclide.langEN		137	
Euc. 3.Prop.31	3.prop.	66r	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f137.image.r=euclide.langEN		138	
Euc. 3.Prop.32	3.prop.	66v	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f138.image.r=euclide.langEN		139	
Euc. 3.Prop.33	3.prop.	67r	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f139.image.r=euclide.langEN		140	
Euc. 3.Prop.34	3.prop.	67v	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f140.image.r=euclide.langEN		141	
Euc. 3.Prop.35	3.prop.	68r	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f141.image.r=euclide.langEN		142	
Euc. 3.Prop.36	3.prop.	68v	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f142.image.r=euclide.langEN		143	
Euc. 3.Prop.37	3.prop.	69r	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f143.image.r=euclide.langEN		144	
Euc. 4.Prop.1	4.prop.	69v	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f144.image.r=euclide.langEN		145	
Euc. 4.Prop.2	4.prop.	69v	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f144.image.r=euclide.langEN		145	
Euc. 4.Prop.3	4.prop.	70r	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f145.image.r=euclide.langEN		146	
Euc. 4.Prop.4	4.prop.	70v	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f146.image.r=euclide.langEN		147	
Euc. 4.Prop.5	4.prop.	71r	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f147.image.r=euclide.langEN		148	
Euc. 4.Prop.6	4.prop.	71v	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f148.image.r=euclide.langEN		149	
Euc. 4.Prop.7	4.prop.	71v	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f148.image.r=euclide.langEN		149	
Euc. 4.Prop.8	4.prop.	72r	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f149.image.r=euclide.langEN		150	
Euc. 4.Prop.9	4.prop.	72v	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f150.image.r=euclide.langEN		151	
Euc. 4.Prop.10	4.prop.	72v	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f150.image.r=euclide.langEN		151	
Euc. 4.Prop.11	4.prop.	73r	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f151.image.r=euclide.langEN		152	
Euc. 4.Prop.12	4.prop.	73v	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f152.image.r=euclide.langEN		153	
Euc. 4.Prop.13	4.prop.	74r	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f153.image.r=euclide.langEN		154	
Euc. 4.Prop.14	4.prop.	74v	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f154.image.r=euclide.langEN		155	
Euc. 4.Prop.15	4.prop.	75r	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f155.image.r=euclide.langEN		156	
Euc. 4.Prop.16	4.prop.	75v	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f156.image.r=euclide.langEN		157	
Euc. 5.Prop.1	5.prop.	76v	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f158.image.r=euclide.langEN		159	
Euc. 5.Prop.2	5.prop.	77r	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f159.image.r=euclide.langEN		160	
Euc. 5.Prop.3	5.prop.	77r	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f159.image.r=euclide.langEN		160	
Euc. 5.Prop.3	5.prop.	77v	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f160.image.r=euclide.langEN		161	
Euc. 5.Prop.4	5.prop.	77v	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f160.image.r=euclide.langEN		161	
Euc. 5.Prop.5	5.prop.	78r	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f161.image.r=euclide.langEN		162	
Euc. 5.Prop.6	5.prop.	78v	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f162.image.r=euclide.langEN		163	
Euc. 5.Prop.7	5.prop.	80r	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f165.image.r=euclide.langEN		166	
Euc. 5.Prop.8	5.prop.	80r	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f165.image.r=euclide.langEN		166	
Euc. 5.Prop.9	5.prop.	81r	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f167.image.r=euclide.langEN		168	
Euc. 5.Prop.10	5.prop.	81r	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f167.image.r=euclide.langEN		168	
Euc. 5.Prop.11	5.prop.	81v	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f168.image.r=euclide.langEN		169	
Euc. 5.Prop.12	5.prop.	81v	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f168.image.r=euclide.langEN		169	
Euc. 5.Prop.13	5.prop.	82r	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f169.image.r=euclide.langEN		170	
Euc. 5.Prop.14	5.prop.	82v	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f170.image.r=euclide.langEN		171	
Euc. 5.Prop.15	5.prop.	82v	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f170.image.r=euclide.langEN		171	
Euc. 5.Prop.16	5.prop.	83r	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f171.image.r=euclide.langEN		172	
Euc. 5.Prop.17	5.prop.	83r	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f171.image.r=euclide.langEN		172	
Euc. 5.Prop.18	5.prop.	83v	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f172.image.r=euclide.langEN		173	
Euc. 5.Prop.19	5.prop.	84r	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f173.image.r=euclide.langEN		174	
Euc. 5.Prop.20	5.prop.	84v	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f174.image.r=euclide.langEN		175	
Euc. 5.Prop.21	5.prop.	84v	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f174.image.r=euclide.langEN		175	
Euc. 5.Prop.22	5.prop.	85r	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f175.image.r=euclide.langEN		176	
Euc. 5.Prop.23	5.prop.	85v	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f176.image.r=euclide.langEN		177	
