Current Perseus ID	Numbering in work	Page	Link	Temp PNG File	PDF Page	Coords
Euc. 2.Prop.11	2.prop.11	24	https://archive.org/stream/gri_000033125009354198#page/n29/mode/2up			
Euc. 2.Prop.12	2.prop.12	25	https://archive.org/stream/gri_000033125009354198#page/n29/mode/2up			
Euc. 2.Prop.13	2.prop.13	25	https://archive.org/stream/gri_000033125009354198#page/n29/mode/2up			
Euc. 2.Prop.14	2.prop.14	26	https://archive.org/stream/gri_000033125009354198#page/n31/mode/2up			
Euc. 3.Prop.1	3.prop.1	27	https://archive.org/stream/gri_000033125009354198#page/n31/mode/2up			
Euc. 3.Prop.2	3.prop.2	28	https://archive.org/stream/gri_000033125009354198#page/n33/mode/2up			
Euc. 3.Prop.3	3.prop.3	28	https://archive.org/stream/gri_000033125009354198#page/n33/mode/2up			
Euc. 3.Prop.4	3.prop.4	28	https://archive.org/stream/gri_000033125009354198#page/n33/mode/2up			
Euc. 3.Prop.5	3.prop.5	29	https://archive.org/stream/gri_000033125009354198#page/n33/mode/2up			
Euc. 3.Prop.6	3.prop.6	29	https://archive.org/stream/gri_000033125009354198#page/n33/mode/2up			
Euc. 3.Prop.7	3.prop.7	29	https://archive.org/stream/gri_000033125009354198#page/n33/mode/2up			
Euc. 3.Prop.8	3.prop.8	30	https://archive.org/stream/gri_000033125009354198#page/n35/mode/2up			
Euc. 3.Prop.9	3.prop.9	31	https://archive.org/stream/gri_000033125009354198#page/n35/mode/2up			
Euc. 3.Prop.10	3.prop.10	31	https://archive.org/stream/gri_000033125009354198#page/n35/mode/2up			
Euc. 3.Prop.11	3.prop.11	31	https://archive.org/stream/gri_000033125009354198#page/n35/mode/2up			
Euc. 3.Prop.12						
Euc. 3.Prop.13	3.prop.12	31	https://archive.org/stream/gri_000033125009354198#page/n35/mode/2up			
Euc. 3.Prop.14	3.prop.13	32	https://archive.org/stream/gri_000033125009354198#page/n37/mode/2up			
Euc. 3.Prop.15	3.prop.14	32	https://archive.org/stream/gri_000033125009354198#page/n37/mode/2up			
Euc. 3.Prop.16	3.prop.15	32	https://archive.org/stream/gri_000033125009354198#page/n37/mode/2up			
Euc. 3.Prop.16	3.prop.15	33	https://archive.org/stream/gri_000033125009354198#page/n37/mode/2up			
Euc. 3.Prop.17	3.prop.16	34	https://archive.org/stream/gri_000033125009354198#page/n39/mode/2up			
Euc. 3.Prop.18	3.prop.17	34	https://archive.org/stream/gri_000033125009354198#page/n39/mode/2up			
Euc. 3.Prop.19	3.prop.18	35	https://archive.org/stream/gri_000033125009354198#page/n39/mode/2up			
Euc. 3.Prop.20	3.prop.19	35	https://archive.org/stream/gri_000033125009354198#page/n39/mode/2up			
Euc. 3.Prop.21	3.prop.20	35	https://archive.org/stream/gri_000033125009354198#page/n39/mode/2up			
Euc. 3.Prop.22	3.prop.21	35	https://archive.org/stream/gri_000033125009354198#page/n39/mode/2up			
Euc. 3.Prop.23	3.prop.22	36	https://archive.org/stream/gri_000033125009354198#page/n41/mode/2up			
Euc. 3.Prop.24	3.prop.23	36	https://archive.org/stream/gri_000033125009354198#page/n41/mode/2up			
Euc. 3.Prop.25	3.prop.24	36	https://archive.org/stream/gri_000033125009354198#page/n41/mode/2up			
Euc. 3.Prop.26	3.prop.25	37	https://archive.org/stream/gri_000033125009354198#page/n41/mode/2up			
Euc. 3.Prop.27	3.prop.26	38	https://archive.org/stream/gri_000033125009354198#page/n43/mode/2up			
Euc. 3.Prop.28	3.prop.27	38	https://archive.org/stream/gri_000033125009354198#page/n43/mode/2up			
Euc. 3.Prop.29	3.prop.28	39	https://archive.org/stream/gri_000033125009354198#page/n43/mode/2up			
Euc. 3.Prop.30	3.prop.29	39	https://archive.org/stream/gri_000033125009354198#page/n43/mode/2up			
Euc. 3.Prop.31	3.prop.30	39	https://archive.org/stream/gri_000033125009354198#page/n43/mode/2up			
Euc. 3.Prop.32	3.prop.31	40	https://archive.org/stream/gri_000033125009354198#page/n45/mode/2up			
Euc. 3.Prop.33	3.prop.32	41	https://archive.org/stream/gri_000033125009354198#page/n45/mode/2up			
Euc. 3.Prop.34	3.prop.33	41	https://archive.org/stream/gri_000033125009354198#page/n45/mode/2up			
Euc. 3.Prop.35	3.prop.34	42	https://archive.org/stream/gri_000033125009354198#page/n47/mode/2up			
Euc. 3.Prop.36	3.prop.35	42	https://archive.org/stream/gri_000033125009354198#page/n47/mode/2up			
Euc. 3.Prop.37	3.prop.36	44	https://archive.org/stream/gri_000033125009354198#page/n49/mode/2up			
Euc. 4.Prop.1	4.prop.1	44	https://archive.org/stream/gri_000033125009354198#page/n49/mode/2up			
Euc. 4.Prop.2	4.prop.2	45	https://archive.org/stream/gri_000033125009354198#page/n49/mode/2up			
Euc. 4.Prop.3	4.prop.3	45	https://archive.org/stream/gri_000033125009354198#page/n49/mode/2up			
