Current Perseus ID	Numbering in work	Folio	Link	Temp PNG File	PDF Page	Coords
Euc. 5.Prop.4	5.prop.4	59r			116	
Euc. 5.Prop.5	5.prop.5	59v			117	
Euc. 5.Prop.6	5.prop.6	60r			118	
Euc. 5.Prop.7	5.prop.7	60v			119	
Euc. 5.Prop.8	5.prop.8	60v			119	
Euc. 5.Prop.9	5.prop.9	61v			121	
Euc. 5.Prop.10	5.prop.10	61v			121	
Euc. 5.Prop.11	5.prop.11	62r			122	
Euc. 5.Prop.12	5.prop.12	62v			123	
Euc. 5.Prop.13	5.prop.13	62v			123	
Euc. 5.Prop.14	5.prop.14	63r			124	
Euc. 5.Prop.15	5.prop.15	63v			125	
Euc. 5.Prop.16	5.prop.16	63v			125	
Euc. 5.Prop.17	5.prop.17	64r			126	
Euc. 5.Prop.18	5.prop.18	64v			127	
Euc. 5.Prop.19	5.prop.19	65r			128	
Euc. 5.Prop.20	5.prop.20	65r			128	
Euc. 5.Prop.20	5.prop.20	65v			129	
Euc. 5.Prop.21	5.prop.21	65v			129	
Euc. 5.Prop.22	5.prop.22	66r			130	
Euc. 5.Prop.23	5.prop.23	66r			130	
Euc. 5.Prop.24	5.prop.24	66v			131	
Euc. 5.Prop.25	5.prop.25	67r			132	
Euc. 6.Prop.1	6.prop.1	67v			133	
Euc. 6.Prop.2	6.prop.2	68r			134	
Euc. 6.Prop.3	6.prop.3	68v			135	
Euc. 6.Prop.4	6.prop.4	69r			136	
Euc. 6.Prop.5	6.prop.5	69v			137	
Euc. 6.Prop.6	6.prop.6	69v			137	
Euc. 6.Prop.7	6.prop.7	70r			138	
Euc. 6.Prop.8	6.prop.8	70v			139	
Euc. 6.Prop.9	6.prop.9	71r			140	
Euc. 6.Prop.10	6.prop.10	71v			141	
Euc. 6.Prop.11	6.prop.11	71v			141	
Euc. 6.Prop.12	6.prop.12	71v			141	
Euc. 6.Prop.13	6.prop.13	72r			142	
Euc. 6.Prop.14	6.prop.14	72r			142	
Euc. 6.Prop.15	6.prop.15	72v			143	
Euc. 6.Prop.16	6.prop.16	73r			144	
Euc. 6.Prop.17	6.prop.17	73v			145	
Euc. 6.Prop.18	6.prop.18	73v			145	
Euc. 6.Prop.19	6.prop.19	74r			146	
Euc. 6.Prop.20	6.prop.20	74v			147	
Euc. 6.Prop.21	6.prop.21	76r			150	
Euc. 6.Prop.22	6.prop.22	76r			150	
Euc. 6.Prop.23	6.prop.23	76v			151	
Euc. 6.Prop.24	6.prop.24	77r			152	
Euc. 6.Prop.25	6.prop.25	77v			153	
Euc. 6.Prop.26	6.prop.26	78r			154	
Euc. 6.Prop.27	6.prop.27	78r			154	
Euc. 6.Prop.27	6.prop.27	78v			155	
Euc. 6.Prop.28	6.prop.28	79r			156	
Euc. 6.Prop.29	6.prop.29	79v			157	
Euc. 6.Prop.30	6.prop.30	80r			158	
Euc. 6.Prop.31	6.prop.31	80r			158	
Euc. 6.Prop.32	6.prop.32	80v			159	
Euc. 6.Prop.33	6.prop.33	81r			160	
Euc. 7.Prop.1	7.prop.1	83r			164	
Euc. 7.Prop.2	7.prop.2	83r			164	
Euc. 7.Prop.3	7.prop.3	83v			165	
Euc. 7.Prop.4	7.prop.4	84r			166	
Euc. 7.Prop.5	7.prop.5	84v			167	
Euc. 7.Prop.6	7.prop.6	84v			167	
Euc. 7.Prop.7	7.prop.7	85r			168	
Euc. 7.Prop.8	7.prop.8	85r			168	
Euc. 7.Prop.9	7.prop.9	85v			169	
Euc. 7.Prop.10	7.prop.10	86r			170	
Euc. 7.Prop.11	7.prop.11	86r			170	
Euc. 7.Prop.12	7.prop.12	86r			170	
Euc. 7.Prop.13	7.prop.13	86v			171	
Euc. 7.Prop.14	7.prop.14	86v			171	
Euc. 7.Prop.15	7.prop.15	86v			171	
Euc. 7.Prop.16	7.prop.16	87r			172	
Euc. 7.Prop.17	7.prop.17	87r			172	
Euc. 7.Prop.18	7.prop.18	87v			173	
Euc. 7.Prop.19	7.prop.19	87v			173	
	7.prop.20	88r			174	
Euc. 7.Prop.20	7.prop.21	88r			174	
	7.prop.22	88v			175	
Euc. 7.Prop.21	7.prop.23	88v			175	
Euc. 7.Prop.22	7.prop.24	89r			176	
Euc. 7.Prop.23	7.prop.25	89r			176	
Euc. 7.Prop.24	7.prop.26	89v			177	
Euc. 7.Prop.25	7.prop.27	89v			177	
Euc. 7.Prop.26	7.prop.28	90r			178	
Euc. 7.Prop.27	7.prop.29	90r			178	
Euc. 7.Prop.28	7.prop.30	90v			179	
Euc. 7.Prop.29	7.prop.31	90v			179	
Euc. 7.Prop.30	7.prop.32	91r			180	
Euc. 7.Prop.31	7.prop.33	91r			180	
Euc. 7.Prop.32	7.prop.34	91v			181	
Euc. 7.Prop.33	7.prop.35	91v			181	
Euc. 7.Prop.34	7.prop.36	92r			182	
Euc. 7.Prop.35	7.prop.37	92v			183	
Euc. 7.Prop.36	7.prop.38	93r			184	
Euc. 7.Prop.37	7.prop.39	93v			185	
Euc. 7.Prop.38	7.prop.40	93v			185	
Euc. 7.Prop.39	7.prop.41	93v			185	
Euc. 8.Prop.1	8.prop.1	94r			186	
Euc. 8.Prop.2	8.prop.2	94v			187	
Euc. 8.Prop.3	8.prop.3	95r			188	
Euc. 8.Prop.4	8.prop.4	95v			189	
Euc. 8.Prop.5	8.prop.5	96v			191	
Euc. 8.Prop.6	8.prop.6	97r			192	
Euc. 8.Prop.7	8.prop.7	97v			193	
Euc. 8.Prop.8	8.prop.8	97v			193	
Euc. 8.Prop.9	8.prop.9	98r			194	
Euc. 8.Prop.10	8.prop.10	98v			195	
Euc. 8.Prop.11	8.prop.11	99v			197	
Euc. 8.Prop.12	8.prop.12	99v			197	
Euc. 8.Prop.13	8.prop.13	100r			198	
Euc. 8.Prop.14	8.prop.14	100v			199	
Euc. 8.Prop.15	8.prop.15	100v			199	
Euc. 8.Prop.15	8.prop.15	101r			200	
Euc. 8.Prop.16	8.prop.16	101r			200	
Euc. 8.Prop.17	8.prop.17	101r			200	
Euc. 8.Prop.18	8.prop.18	101v			201	
Euc. 8.Prop.19	8.prop.19	101v			201	
Euc. 8.Prop.19	8.prop.19	102r			202	
Euc. 8.Prop.20	8.prop.20	102v			203	
Euc. 8.Prop.21	8.prop.21	103r			204	
Euc. 8.Prop.22	8.prop.22	103v			205	
Euc. 8.Prop.23	8.prop.23	103v			205	
Euc. 8.Prop.24	8.prop.24	103v			205	
Euc. 8.Prop.25	8.prop.25	104r			206	
Euc. 8.Prop.26	8.prop.26	104r			206	
Euc. 8.Prop.27	8.prop.27	104r			206	
Euc. 9.Prop.1	9.prop.1	104v			207	
Euc. 9.Prop.2	9.prop.2	104v			207	
Euc. 9.Prop.3	9.prop.3	105r			208	
Euc. 9.Prop.4	9.prop.4	105r			208	
Euc. 9.Prop.5	9.prop.5	105v			209	
Euc. 9.Prop.6	9.prop.6	105v			209	
Euc. 9.Prop.7	9.prop.7	105v			209	
Euc. 9.Prop.8	9.prop.8	106r			210	
Euc. 9.Prop.9	9.prop.9	106v			211	
Euc. 9.Prop.10	9.prop.10	106v			211	
Euc. 9.Prop.10	9.prop.10	107r			212	
Euc. 9.Prop.11	9.prop.11	107r			212	
Euc. 9.Prop.12	9.prop.12	107v			213	
