MS URN	Description	Print Location	Online Location
urn:cite:ogl:emden_14	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
urn:cite:ogl:erfurt_cafol37	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
urn:cite:ogl:erfurt_cafol375	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
urn:cite:ogl:erfurt_caquart22	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
urn:cite:ogl:erfurt_caquart23	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
urn:cite:ogl:erfurt_caquart344	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
urn:cite:ogl:erfurt_caquart352	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
urn:cite:ogl:erfurt_caquart385	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
urn:cite:ogl:erfurt_caquart387	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
urn:cite:ogl:erlangen_379	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
urn:cite:ogl:exeter_3503	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
urn:cite:ogl:florence_129	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
urn:cite:ogl:florence_convsoppraj_i_18	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
urn:cite:ogl:florence_convsoppraj_iv_24	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
urn:cite:ogl:florence_convsopprc_vii_2820	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
urn:cite:ogl:florence_cclxxi	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
