Google Books ID	Date	Language(s)	Includes	Text Quality	Diagrams	Diagram Quality	Format Comments	Other Comments
dr5bgX1oHeEC	1572	Latin	Euclid.Elements:1-15	color,abbreviations,ligatures	inline	good	titles,inline comments,marginal comments,initials	apud Camillum Francischinum
jEoRPuxe_pcC	1572	Latin	Euclid.Elements:1-15	b&w,abbreviations,ligatures	inline	good	titles,inline comments,marginal comments,initials	apud Camillum Francischinum
r8dCAAAAcAAJ	1572	Latin	Euclid.Elements:1-15	color,abbreviations,ligatures	inline	good	titles,inline comments,marginal comments,initials	apud Camillum Francischinum
GRpaAAAAcAAJ	1573	Greek,Latin	Euclid.Elements:1-15(selections)	b&w,abbreviations,ligatures	inline	good	titles	apud Hieronymus de Marnef
8EJr3XLz-5oC	1574	Latin	Euclid.Elements:10-15	color,ligatures	inline	good	titles,inline comments,marginal comments,initials	apud Vincentium Accoltum
9E2xEit4CKkC	1574	Latin	Euclid.Elements:1-9	b&w,some color,abbreviations,ligatures	inline	good	titles,inline comments,marginal comments,initials	apud Vincentium Accoltum
a5qqC62sUecC	1574	Latin	Euclid.Elements:10-15	b&w,ligatures	inline	good	titles,inline comments,marginal comments,initials	apud Vincentium Accoltum
cig5ckrejdwC	1574	Latin	Euclid.Elements:10-15	b&w,abbreviations,ligatures	inline	good	titles,inline comments,marginal comments,initials	apud Vincentium Accoltum
LNHQy3fWWZQC	1574	Latin	Euclid.Elements:1-9	color,ligatures	inline	good	titles,inline comments,marginal comments,initials	apud Vincentium Accoltum
dUAUWfQ5hlIC	1575	Latin	Euclid.Elements:5-6(selections)	color,abbreviations,ligatures,Greek	inline	good	titles,inline comments,marginal comments	
TchCAAAAcAAJ	1575	Italian	Euclid.Elements:1-15	color,abbreviations,ligatures	inline	good	titles,inline comments,marginal comments,initials	
OC7LiH_uevwC	1576	Spanish	Euclid.Elements:1-6	color,ligatures	inline	good	titles,later annotations	
zWy8BnTDHHoC	1576	Spanish	Euclid.Elements:1-6	color,ligatures	inline	good	titles	
7d5RAAAAcAAJ	1577	Greek,Latin	Euclid.Elements:1-6	color,abbreviations,ligatures	inline	good	titles,later annotations	
vMdCAAAAcAAJ	1578	Latin	Euclid.Elements:1-15	color,ligatures	inline	good	titles,inline comments	
J8g7AAAAcAAJ	1580	Latin	Euclid.Elements:1-15	b&w,ligatures	inline	good	titles	
nMNZAAAAcAAJ	1586	Italian	Euclid.Elements:1-15	b&w,ligatures	inline	good	titles	
Q0s8AAAAcAAJ	1586	Italian	Euclid.Elements:1-15	b&w,ligatures	inline	good	titles	badly imaged
FpsyYegr4HEC	1587	Latin	Euclid.Elements:1-15(selections)	color,ligatures	inline	good	titles	decorative
J-ZRAAAAcAAJ	1587	Latin	Euclid.Elements:1-15(selections)	color,ligatures	inline	good	titles	decorative
s9U7AAAAcAAJ	1589	Latin	Euclid.Elements:1-6	b&w,ligatures	inline	good	titles,inline comments,marginal comments	apud Bartholomaeum Grassium,badly imaged
VCkORLAgANwC	1589	Latin	Euclid.Elements:1-6	b&w,ligatures	inline	good	titles,inline comments,marginal comments	apud Bartholomaeum Grassium
XRmo0OXBw9EC	1589	Latin	Euclid.Elements:7-16	b&w,ligatures	inline	good	titles,inline comments,marginal comments	apud Bartholomaeum Grassium
AI2St0Hw5A0C	1591	Latin	Euclid.Elements:1-15	color,ligatures	inline	good	titles,inline comments,marginal comments	
Ux9NAAAAcAAJ	1591	Latin	Euclid.Elements:1-15	color,ligatures	inline	good	titles,inline comments,marginal comments	
t8RCAAAAcAAJ	1594	Arabic	Euclid.Elements:1-?	b&w	inline	good	titles	
EMBSAAAAcAAJ	1591	Latin	Euclid.Elements:1-15	color,ligatures	inline	good	titles,inline comments,marginal comments	
Qn313MRciRkC	1603	Latin	Euclid.Elements:1-6	color,ligatures,fractions	inline	good	titles,inline comments,marginal comments	apud Bartholomaeum Grassium,starts p.30
4Ks7AAAAcAAJ	1589	Latin	Euclid.Elements:7-16	b&w,ligatures	inline	good	titles,inline comments,marginal comments	apud Bartholomaeum Grassium
dIlXAAAAcAAJ	1605	French	Euclid.Elements:1-9	color,ligatures	inline	good	titles,initials	
4Znp5VLJ0qoC	1594	Arabic	Euclid.Elements:1-?	b&w	inline	good	titles	badly imaged
laUanDn1VJsC	1603	Latin	Euclid.Elements:7-16	color,ligatures	inline	good	titles,marginal comments	
pEZZAAAAcAAJ	1594	Arabic	Euclid.Elements:1-13	b&w	inline	good	titles	
EN9RAAAAcAAJ	1600	Latin	Euclid.Elements:1-15(selections)	color,ligatures	inline	good	titles	decorative
nBsTAAAAQAAJ	1605	French	Euclid.Elements:1-9	b&w,ligatures	inline	good	titles,later annotations,later diagrams	
p9mRmBvWmtwC	1607	Latin	Euclid.Elements:1-15(selections)	b&w,ligatures	inline	good	titles	decorative
XQ8OAAAAQAAJ	1607	Latin	Euclid.Elements:7-16	color,ligatures	inline	good	titles,marginal comments	
1FI-AAAAcAAJ	1607	Latin	Euclid.Elements:7-16	b&w,ligatures	inline	good	titles	badly imaged
LnQzz8plzk0C	1607	Latin	Euclid.Elements:1-15(selections)	b&w,ligatures	inline	good	titles	decorative
6ME_AAAAcAAJ	1606	Dutch	Euclid.Elements:1-6	b&w,ligatures,Blackletter	inline	good	titles	
NmfE7SYYyt0C	1603	Latin	Euclid.Elements:7-16	b&w,ligatures	inline	good	titles	
PxMOAAAAQAAJ	1607	Latin	Euclid.Elements:1-15	color,ligatures	inline	good	titles,inline comments,marginal comments	Hoffman's edition
nc5ZAAAAcAAJ	1607	Latin	Euclid.Elements:1-15	b&w,ligatures	inline	good	titles,inline comments,marginal comments	Hoffman's edition
E1k-AAAAcAAJ	1607	Latin	Euclid.Elements:1-15(selections)	b&w,ligatures	inline	good	titles	decorative
8W4-AAAAcAAJ	1607	Latin	Euclid.Elements:1-15	color,ligatures	inline	good	titles,inline comments,marginal comments	
BUg-AAAAcAAJ	1607	Latin	Euclid.Elements:1-15(selections)	b&w,ligatures	inline	good	titles	decorative
dQ0OAAAAQAAJ	1609	Latin	Euclid.Elements:1-13	b&w,ligatures	inline	good	titles,inline comments,marginal comments	badly imaged
zEg-AAAAcAAJ	1609	Latin	Euclid.Elements:1-13	color,ligatures	inline	good	titles,inline comments,marginal comments,later annotations	
6Rhbnf9YksYC	1610	Greek,Latin	Euclid.Elements:1-6	b&w,ligatures	inline	good	titles,inline comments,initials	
cepZAAAAcAAJ	1610	German	Euclid.Elements:1-6	b&w,Blackletter	inline	good	titles,initials	
aQ1SAAAAcAAJ	1612	Latin	Euclid.Elements:1-15(selections)	color,ligatures	inline	good	titles	decorative,badly imaged
9J7E6fv-YcwC	1612	Latin	Euclid.Elements:1-15(selections)	color,ligatures	inline	good	titles	decorative,badly imaged
kOhZAAAAcAAJ	1615	French	Euclid.Elements:1-15	b&w,ligatures	inline	good	titles,inline comments	
-N9RAAAAcAAJ	1617	Latin	Euclid.Elements:1-6	color,ligatures	inline	good	titles,marginal comments	Lanz's edition
OA4OAAAAQAAJ	1617	Latin	Euclid.Elements:1-6	color,ligatures	inline	good	titles,marginal comments,later diagrams	Lanz's edition
dPdYAAAAcAAJ	1617	Latin	Euclid.Elements:1-6	color,ligatures	inline	good	titles,marginal comments	Lanz's edition
a5qqC62sUecC	1574	Latin	Euclid.Elements:10-15	b&w,ligatures	inline	good	titles,inline comments,marginal comments,initials	apud Vicentium Accoltum
s-pZAAAAcAAJ	1618	German	Euclid.Elements:1-6	b&w,Blackletter	inline	good	titles,initials	
FdVZ2UiwxnkC	1619	Italian	Euclid.Elements:1-15	b&w,ligatures	inline	good	titles,inline comments,marginal comments,initials	
kbVAAAAAcAAJ	1618	German	Euclid.Elements:1-6	color,Blackletter	inline	good	titles	
Z1loGbRbHdsC	1620	Italian	Euclid.Elements:1-6	b&w	inline	good	titles,inline comments,initials	
Iz0gkSewMy0C	1620	Latin	Euclid.Elements:1-6	b&w,ligatures	inline	good	titles,marginal comments	Beller's edition
6s5ZAAAAcAAJ	1620	Latin	Euclid.Elements:1-6	b&w,ligatures	inline	good	titles,marginal comments	Beller's edition
VLEAAAAAcAAJ	1620	Latin	Euclid.Elements:1-6	b&w,ligatures	inline	good	titles,marginal comments	Beller's edition
12w-AAAAcAAJ	1621	French	Euclid.Elements:1-15	b&w,ligatures	inline	good	titles,inline comments,initials	
PR4TAAAAQAAJ	1621	French	Euclid.Elements:1-15	b&w,ligatures	inline	good	titles,inline comments,initials	
vns-AAAAcAAJ	1627	Latin	Euclid.Elements:1-15(selections)	b&w,ligatures	inline	good	titles	decorative
CUv8JXQtqwYC	1628	Latin	Euclid.Elements:1-6	color,ligatures	inline	good	titles,marginal comments	
eCyPEUhceHgC	1629	Latin	Euclid.Elements:1-6	b&w,ligatures	inline	good	titles,marginal comments	
kXs-AAAAcAAJ	1630	French	Euclid.Elements:1-6	b&w,ligatures	inline	good	titles,inline comments,initials	
dG0-AAAAcAAJ	1632	French	Euclid.Elements:1-15	color,ligatures,Greek	inline	good	titles,inline comments,marginal comments,initials	badly imaged (buckled)
4NKW-vnIhssC	1633	Latin	Euclid.Elements:1-6	color,ligatures	inline	good	titles,marginal comments,initials	
xXs-AAAAcAAJ	1633	Latin	Euclid.Elements:1-6	b&w,ligatures	inline	good	titles,marginal comments,initials	
4LJPcJ6sBcgC	1634	Latin,French	Euclid.Elements:1-15	b&w,ligatures,symbols	inline	good	titles,marginal comments,columns	
bHo-AAAAcAAJ	1634	German	Euclid.Elements:1-6	color,Blackletter	inline	good	titles,initials	
K0myw8QFkgwC	1644	Latin,French	Euclid.Elements:1-15	b&w,some color,ligatures,symbols	inline	good	titles,marginal comments,columns	
NSkQw6sAyUoC	1647	Latin	Euclid.Elements:1-6	b&w,ligatures	inline	good	titles	
dntI0gjyQOYC	1651	Italian	Euclid.Elements:1-6	b&w	inline	good	titles,columns,initials	
gHs-AAAAcAAJ	1651	Italian	Euclid.Elements:1-6	b&w	inline	good	titles,columns,initials	
JW8-AAAAcAAJ	1654	Latin	Euclid.Elements:1-6	b&w,ligatures	inline	good	titles,inline comments,marginal comments,initials	
