Google Books ID	Date	Language(s)	Includes	Text Quality	Diagrams	Diagram Quality	Format Comments	Other Comments
vK5RAAAAcAAJ	1854	English	Euclid.Elements:1-6,11-12	b&w	inline	good	titles,inline comments,marginal comments	
wzADAAAAQAAJ	1855	English	Euclid.Elements:4-6,11,12	b&w,fractions,symbols	inline	good	titles	
1zADAAAAQAAJ	1855	English	Euclid.Elements:1-6,11,12	b&w	inline	good	titles	
_jADAAAAQAAJ	1857	English	Euclid.Elements:1-6	b&w,symbols	inline	good	titles,inline comments,lower comments	
_zADAAAAQAAJ	1859	English	Euclid.Elements:4-6	b&w,Greek,symbols	inline	good	titles,inline comments	
ygMFAAAAQAAJ	1860	English	Euclid.Elements:1-6	b&w	inline	good	titles	
R6l9TjE2US4C	1862	English	Euclid.Elements:1-4	b&w	inline	good	titles,inline comments,lower comments	
ToFZ8I4dmYkC	1862	English	Euclid.Elements:1-4	b&w,some color	inline	good	titles	
mQ84nC3ywdkC	1863	English	Euclid.Elements:1-4	b&w	inline	good	titles	
XCwFAAAAQAAJ	1863	English	Euclid.Elements:1-6	b&w	inline	good	titles,inline comments	
XDQDAAAAQAAJ	1864	English	Euclid.Elements:1-6,11,12	b&w,symbols	inline	good	titles	additional problems
U28DAAAAQAAJ	1864	English	Euclid.Elements:1-4	b&w	inline	good	titles	
xUSMQTKvzHsC	1864	English	Euclid.Elements:1-2	b&w	inline	good	titles	
dSgZfZPWT84C	1864	English	Euclid.Elements:1	b&w	inline	good	titles	
ojUDAAAAQAAJ	1865	English	Euclid.Elements:1	b&w	inline	good	titles	not exactly a translation? rearranged
WNK7uzX-sEsC	1867	English	Euclid.Elements:1-3	b&w,symbols	inline	good	titles	
QTcDAAAAQAAJ	1867	English	Euclid.Elements:1-4	b&w	inline	good	titles,inline comments,marginal comments	
9TUDAAAAQAAJ	1871	English	Euclid.Elements:1-2	b&w,symbols	inline	good	titles,inline comments,marginal comments	
GTYDAAAAQAAJ	1872	English	Euclid.Elements:3-4	b&w,symbols	inline	good	titles,inline comments,marginal comments	
-nRPIE3VJd8C	1509	Latin	Euclid.Elements:1-15	b&w,abbreviations,ligatures	marginal	good	titles,initials,later annotations	Paciolo's edition
9mdY8sZcUa4C	1509	Latin	Euclid.Elements:1-15	b&w,abbreviations,ligatures	marginal	good	titles,initials	Paciolo's edition
ecJCAAAAcAAJ	1509	Latin	Euclid.Elements:1-15	b&w,abbreviations,ligatures	marginal	good	titles,initials	Paciolo's edition
KtcWzA-j3qcC	1509	Latin	Euclid.Elements:1-15	color,abbreviations,ligatures	marginal	good	titles,initials,later annotations	Paciolo's edition
Y0tZAAAAcAAJ	1509	Latin	Euclid.Elements:1-15	b&w,abbreviations,ligatures	marginal	good	titles,initials	Paciolo's edition
ckxZAAAAcAAJ	1510	Latin	Euclid.Elements:1-14	b&w,abbreviations,ligatures	marginal	good	titles,initials	
30tZAAAAcAAJ	1516	Latin	Euclid.Elements:1-15	b&w,abbreviations,ligatures	marginal	good	titles,initials,later annotations	Campanus and Zamberti's translations
MhxQAAAAcAAJ	1516	Latin	Euclid.Elements:1-15	color,abbreviations,ligatures	marginal	good	titles,initials,marginal comments	Campanus and Zamberti's translations
Zxn66SdX4UMC	1516	Latin	Euclid.Elements:1-15	b&w,abbreviations,ligatures	marginal	good	titles,initials	Campanus and Zamberti's translations
wR1QAAAAcAAJ	1517	Latin	Euclid.Elements:1-14	b&w,abbreviations,ligatures	marginal	good	titles,initials,later annotations	
mN9RAAAAcAAJ	1529	Latin	Euclid.Elements:1-5	color,abbreviations,ligatures	marginal	good	titles	Vögelin's edition
msbZ-LmwJIcC	1529	Latin	Euclid.Elements:1-5	color,abbreviations,ligatures	marginal	good	titles	Vögelin's edition
175Y7ym3ricC	1534	Latin	Euclid.Elements:1-5	color,abbreviations,ligatures	marginal	good	titles	Vögelin's edition
sbw7AAAAcAAJ	1534	Latin	Euclid.Elements:1-5	b&w,abbreviations,ligatures	marginal	good	titles,later annotations	Vögelin's edition
Od5aAAAAcAAJ	1539	Latin	Euclid.Elements:1-5	color,abbreviations,ligatures	marginal	good	titles	Vögelin's edition, followed by other texts
-Z1Jxbdd4ZEC	1543	Italian	Euclid.Elements:1-15	b&w,abbreviations,ligatures	marginal	good	titles,inline comments	
CsYA5nFQ2TsC	1545	Italian	Euclid.Elements:1-15	b&w,abbreviations,ligatures	none	none	titles	
b_AegGpLGmwC	1570	Greek,Latin	Euclid.Elements:1-15(selections)	color,abbreviations,ligatures	none	none	titles	different Dasypodius edition
sN5RAAAAcAAJ	1570	Greek,Latin	Euclid.Elements:1-15(selections)	color,abbreviations,ligatures	none	none	titles	different Dasypodius edition
SmSobmAZs_EC	1603	Latin	Euclid.Elements:1-16(selections)	b&w,ligatures	none	none	titles	
e_d5tY-HDhAC	1785	Latin	Euclid.Elements:1,3,5-6,11-12	b&w	none	none	titles,initials,catchwords	
WG0-AAAAcAAJ	1829	German	Euclid.Elements:1-4,6,11-12	b&w,symbols	none	none	titles	
Ly8EAAAAQAAJ	1848	English	Euclid.Elements:1-6,11,12(selections)	b&w	none	none	titles	lacks the proofs, school edition
MvM2AAAAMAAJ	1699	German	Euclid.Elements:1-6,11-12	b&w,symbols	top of page	good	titles	
dg4OAAAAQAAJ								terribly imaged
J7VAAAAAcAAJ								terribly imaged
