Current Perseus ID	Numbering in work	Page	Link	Temp PNG File	PDF Page	Coords
Euc. 2.Prop.10	2.prop.	26	http://digital.slub-dresden.de/en/workview/dlf/7154/40/0/			
Euc. 2.Prop.11	2.prop.	27	http://digital.slub-dresden.de/en/workview/dlf/7154/41/0/			
Euc. 2.Prop.12	2.prop.	27	http://digital.slub-dresden.de/en/workview/dlf/7154/41/0/			
Euc. 2.Prop.13	2.prop.	28	http://digital.slub-dresden.de/en/workview/dlf/7154/42/0/			
Euc. 2.Prop.14	2.prop.	28	http://digital.slub-dresden.de/en/workview/dlf/7154/42/0/			
Euc. 3.Prop.1	3.prop.	30	http://digital.slub-dresden.de/en/workview/dlf/7154/44/0/			
Euc. 3.Prop.2	3.prop.	30	http://digital.slub-dresden.de/en/workview/dlf/7154/44/0/			
Euc. 3.Prop.3	3.prop.	30	http://digital.slub-dresden.de/en/workview/dlf/7154/44/0/			
Euc. 3.Prop.4	3.prop.	31	http://digital.slub-dresden.de/en/workview/dlf/7154/45/0/			
Euc. 3.Prop.5	3.prop.	31	http://digital.slub-dresden.de/en/workview/dlf/7154/45/0/			
Euc. 3.Prop.6	3.prop.	31	http://digital.slub-dresden.de/en/workview/dlf/7154/45/0/			
Euc. 3.Prop.7	3.prop.	31	http://digital.slub-dresden.de/en/workview/dlf/7154/45/0/			
Euc. 3.Prop.7	3.prop.	32	http://digital.slub-dresden.de/en/workview/dlf/7154/46/0/			
Euc. 3.Prop.8	3.prop.	32	http://digital.slub-dresden.de/en/workview/dlf/7154/46/0/			
Euc. 3.Prop.9	3.prop.	33	http://digital.slub-dresden.de/en/workview/dlf/7154/47/0/			
Euc. 3.Prop.10	3.prop.	34	http://digital.slub-dresden.de/en/workview/dlf/7154/48/0/			
Euc. 3.Prop.11	3.prop.	34	http://digital.slub-dresden.de/en/workview/dlf/7154/48/0/			
Euc. 3.Prop.12	3.prop.	35	http://digital.slub-dresden.de/en/workview/dlf/7154/49/0/			
Euc. 3.Prop.13	3.prop.	35	http://digital.slub-dresden.de/en/workview/dlf/7154/49/0/			
Euc. 3.Prop.14	3.prop.	35	http://digital.slub-dresden.de/en/workview/dlf/7154/49/0/			
Euc. 3.Prop.15	3.prop.	36	http://digital.slub-dresden.de/en/workview/dlf/7154/50/0/			
Euc. 3.Prop.16	3.prop.	36	http://digital.slub-dresden.de/en/workview/dlf/7154/50/0/			
Euc. 3.Prop.17	3.prop.	37	http://digital.slub-dresden.de/en/workview/dlf/7154/51/0/			
Euc. 3.Prop.18	3.prop.	37	http://digital.slub-dresden.de/en/workview/dlf/7154/51/0/			
Euc. 3.Prop.19	3.prop.	38	http://digital.slub-dresden.de/en/workview/dlf/7154/52/0/			
Euc. 3.Prop.20	3.prop.	38	http://digital.slub-dresden.de/en/workview/dlf/7154/52/0/			
