Current Perseus ID	Numbering in work	Folio	Link	Temp PNG File	PDF Page	Coords
Euc. 10.Prop 2.81	10.prop.81	23r	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=49			
Euc. 10.Prop 2.82	10.prop.82	23r	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=49			
Euc. 10.Prop 2.83	10.prop.83	23r	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=49			
Euc. 10.Prop 2.84	10.prop.84	23r	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=49			
Euc. 10.Prop 2.84	10.prop.84	23v	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=50			
Euc. 10.Prop 3.85						
	10.prop.85	23v	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=50			
Euc. 10.Prop 3.86	10.prop.86	23v	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=50			
Euc. 10.Prop 3.87	10.prop.87	23v	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=50			
Euc. 10.Prop 3.88	10.prop.88	23v	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=50			
Euc. 10.Prop 3.89	10.prop.89	23v	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=50			
Euc. 10.Prop 3.90	10.prop.90	23v	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=50			
Euc. 10.Prop 3.91	10.prop.92	23v	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=50			
	10.prop.91	23v	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=50			
Euc. 10.Prop 3.92	10.prop.93	23v	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=50			
Euc. 10.Prop 3.93	10.prop.94	23v	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=50			
Euc. 10.Prop 3.94	10.prop.95	23v	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=50			
Euc. 10.Prop 3.94	10.prop.95	24r	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=51			
Euc. 10.Prop 3.95	10.prop.96	24r	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=51			
Euc. 10.Prop 3.96	10.prop.97	24r	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=51			
Euc. 10.Prop 3.97	10.prop.98	24r	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=51			
Euc. 10.Prop 3.98	10.prop.99	24r	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=51			
Euc. 10.Prop 3.99	10.prop.100	24r	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=51			
Euc. 10.Prop 3.100	10.prop.101	24r	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=51			
Euc. 10.Prop 3.101	10.prop.102	24r	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=51			
Euc. 10.Prop 3.102	10.prop.103	24r	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=51			
Euc. 10.Prop 3.103	10.prop.104	24r	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=51			
Euc. 10.Prop 3.104	10.prop.105	24r	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=51			
Euc. 10.Prop 3.105	10.prop.106	24r	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=51			
Euc. 10.Prop 3.106	10.prop.107	24r	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=51			
Euc. 10.Prop 3.107	10.prop.108	24r	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=51			
Euc. 10.Prop 3.108	10.prop.109	24r	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=51			
Euc. 10.Prop 3.109	10.prop.110	24v	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=52			
Euc. 10.Prop 3.110	10.prop.111	24v	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=52			
Euc. 10.Prop 3.111	10.prop.112	24v	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=52			
	10.prop.113	24v	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=52			
Euc. 10.Prop 3.112	10.prop.114	24v	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=52			
Euc. 10.Prop 3.114	10.prop.115	24v	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=52			
Euc. 10.Prop 3.114	10.prop.115	25r	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=53			
Euc. 10.Prop 3.115	10.prop.116	25r	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=53			
	10.prop.117	25r	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=53			
Euc. 11.Prop.1	11.prop.1	26r	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=55			
Euc. 11.Prop.2	11.prop.2	26r	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=55			
Euc. 11.Prop.3	11.prop.3	26r	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=55			
Euc. 11.Prop.4	11.prop.4	26r	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=55			
Euc. 11.Prop.5	11.prop.5	26r	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=55			
Euc. 11.Prop.6	11.prop.6	26r	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=55			
Euc. 11.Prop.7	11.prop.7	26r	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=55			
Euc. 11.Prop.7	11.prop.7	26v	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=56			
Euc. 11.Prop.8	11.prop.8	26v	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=56			
Euc. 11.Prop.9	11.prop.9	26v	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=56			
Euc. 11.Prop.10	11.prop.10	26v	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=56			
Euc. 11.Prop.11	11.prop.11	26v	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=56			
Euc. 11.Prop.12	11.prop.12	26v	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=56			
Euc. 11.Prop.13	11.prop.13	26v	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=56			
Euc. 11.Prop.14	11.prop.14	26v	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=56			
Euc. 11.Prop.15	11.prop.15	26v	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=56			
Euc. 11.Prop.16	11.prop.16	26v	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=56			
Euc. 11.Prop.17	11.prop.17	26v	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=56			
Euc. 11.Prop.18	11.prop.18	26v	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=56			
Euc. 11.Prop.19	11.prop.19	27r	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=57			
Euc. 11.Prop.20	11.prop.20	27r	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=57			
Euc. 11.Prop.21	11.prop.21	27r	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=57			
Euc. 11.Prop.22	11.prop.22	27r	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=57			
Euc. 11.Prop.23	11.prop.23	27r	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=57			
Euc. 11.Prop.24	11.prop.24	27r	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=57			
Euc. 11.Prop.25	11.prop.25	27r	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=57			
Euc. 11.Prop.26	11.prop.26	27r	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=57			
Euc. 11.Prop.27	11.prop.27	27r	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=57			
Euc. 11.Prop.28	11.prop.28	27r	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=57			
Euc. 11.Prop.29	11.prop.29	27v	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=58			
Euc. 11.Prop.30	11.prop.30	27v	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=58			
Euc. 11.Prop.31	11.prop.31	27v	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=58			
Euc. 11.Prop.32	11.prop.32	27v	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=58			
Euc. 11.Prop.33	11.prop.33	27v	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=58			
Euc. 11.Prop.34	11.prop.34	27v	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=58			
Euc. 11.Prop.35	11.prop.35	27v	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=58			
Euc. 11.Prop.36	11.prop.36	27v	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=58			
Euc. 11.Prop.37						
	11.prop.37	27v	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=58			
	11.prop.37	28r	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=59			
Euc. 11.Prop.38	11.prop.38	28r	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=59			
Euc. 11.Prop.39	11.prop.39	28r	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=59			
Euc. 12.Prop.1	12.prop.1	28r	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=59			
Euc. 12.Prop.2	12.prop.2	28r	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=59			
Euc. 12.Prop.3	12.prop.3	28r	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=59			
Euc. 12.Prop.4	12.prop.4	28r	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=59			
Euc. 12.Prop.4	12.prop.4	28v	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=60			
Euc. 12.Prop.5	12.prop.5	28v	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=60			
Euc. 12.Prop.6						
	12.prop.6	28v	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=60			
Euc. 12.Prop.8	12.prop.8	28v	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=60			
Euc. 12.Prop.9	12.prop.7	28v	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=60			
Euc. 12.Prop.10	12.prop.9	28v	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=60			
Euc. 12.Prop.11	12.prop.11	28v	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=60			
Euc. 12.Prop.12	12.prop.10	28v	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=60			
Euc. 12.Prop.13	12.prop.12	28v	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=60			
Euc. 12.Prop.14	12.prop.13	28v	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=60			
Euc. 12.Prop.15	12.prop.14	28v	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=60			
Euc. 12.Prop.16	12.prop.15	28v	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=60			
Euc. 12.Prop.17	12.prop.16	28v	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=60			
Euc. 12.Prop.17	12.prop.16	29r	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=61			
Euc. 12.Prop.18	12.prop.17	29r	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=61			
Euc. 13.Prop.1	13.prop.1	29r	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=61			
Euc. 13.Prop.2	13.prop.2	29r	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=61			
Euc. 13.Prop.3	13.prop.3	29r	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=61			
Euc. 13.Prop.4	13.prop.4	29r	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=61			
	13.prop.5	29r	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=61			
Euc. 13.Prop.6						
Euc. 13.Prop.7	13.prop.6	29r	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=61			
Euc. 13.Prop.8	13.prop.7	29r	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=61			
Euc. 13.Prop.8	13.prop.7	29v	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=62			
Euc. 13.Prop.9	13.prop.8	29v	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=62			
Euc. 13.Prop.10	13.prop.9	29v	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=62			
Euc. 13.Prop.11	13.prop.10	29v	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=62			
Euc. 13.Prop.12	13.prop.11	29v	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=62			
Euc. 13.Prop.13	13.prop.12	29v	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=62			
Euc. 13.Prop.14	13.prop.13	29v	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=62			
Euc. 13.Prop.15	13.prop.14	29v	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=62			
Euc. 13.Prop.16	13.prop.15	29v	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=62			
Euc. 13.Prop.17	13.prop.16	29v	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=62			
Euc. 13.Prop.17	13.prop.16	30r	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=63			
