MS URN	Shelfmark to Use	Form	Language	Date	Includes	Translator	Collection	Library	Institution	City	Folios	Digital Status	Copyright	Copyright Link	Repository	Link to Digitized Version
urn:cite:ogl:leiden_vlq92	VLQ 92	Manuscript	Latin	1175-1200 CE	3.prop.34-36, 4.prop.14-16	"Mélanges"		Bibliotheek der Rijksuniversiteit	Rijksuniversiteit Groningen	Leiden	2r-2v,1r-1v	Fully digitized		http://www.library.leiden.edu/special-collections/practical/reproduction-special-collections.html		https://socrates.leidenuniv.nl/R/-?func=dbin-jump-full&object_id=2726397
										Leiden						
										Leiden						
		Manuscript	Greek		11-13			Biblioteca Publica		Leiden						
		Manuscript	Hebrew		1-15			Biblioteca Publica		Leiden						
		Manuscript	Arabic					Biblioteca Publica		Leiden						
urn:cite:ogl:leipzig_1461	Ms 1461	Manuscript	Latin	1440 CE	1.def.1-9.prop.4, 9.prop.8-10.prop.36	Campanus de Novara		Universitätsbibliothek Leipzig	Universität Leipzig	Leipzig	1r-79v,80r-98v	Not digitized				
urn:cite:ogl:leipzig_1478	Ms 1478	Manuscript	Latin	1400-1500 CE	1.def.1-1.prop.21	Campanus de Novara		Universitätsbibliothek Leipzig	Universität Leipzig	Leipzig	89r-90v	Fully digitized	Das Copyright für veröffentlichte, vom Autor selbst erstellte Objekte bleibt allein beim Autor der Seiten. Eine Vervielfältigung oder Verwendung solcher Grafiken, Tondokumente, Videosequenzen und Texte in anderen elektronischen oder gedruckten Publikationen ist ohne ausdrückliche Zustimmung des Autors nicht gestattet.	http://www.manuscripta-mediaevalia.de/dokumente/html/obj90680053,T		http://www.manuscripta-mediaevalia.de/dokumente/html/obj90680053,T
urn:cite:ogl:leipzig_repi68c	MS Rep. I,68c	Manuscript	Latin	1200-1300 CE	1-15	Adelard II		Universitätsbibliothek Leipzig	Universität Leipzig	Leipzig	1r-60v	Not digitized				
urn:cite:ogl:lincolnshire_238	MS 238	Manuscript	Latin	1200-1250 CE	6.def.2, 6.prop.1-32(enunciations only)	Adelard II		Lincoln Cathedral Library		Lincolnshire	1r-8v	Not digitized				
