MS URN	Shelfmark to Use	Form	Language	Date	Includes	Translator	Collection	Library	Institution	City	Folios	Digital Status	Copyright	Copyright Link	Repository	Link to Digitized Version
urn:cite:ogl:munich_clm13021	Clm 13021	Manuscript	Latin	1150-1200	1-3	"Mélanges"		Bayerische Staatsbibliothek		Munich	164r-169v	Fully digitized	CC BY-NC-SA 4.0	http://daten.digitale-sammlungen.de/0004/bsb00047475/images/index.html?fip=193.174.98.30&id=00047475&seite=393	BSB	http://daten.digitale-sammlungen.de/0004/bsb00047475/images/index.html?fip=193.174.98.30&id=00047475&seite=393
urn:cite:ogl:munich_clm13021	Clm 13021	Manuscript	Latin	1150-1200 CE	4-15(ennuncations only)	Adelard II		Bayerische Staatsbibliothek		Munich	170r-186v	Fully digitized	CC BY-NC-SA 4.0	http://daten.digitale-sammlungen.de/0004/bsb00047475/images/index.html?fip=193.174.98.30&id=00047475&seite=393	BSB	http://daten.digitale-sammlungen.de/0004/bsb00047475/images/index.html?fip=193.174.98.30&id=00047475&seite=393
urn:cite:ogl:munich_clm13084	Clm 13084	Folio	Latin	800-1000 CE	2.def.2, 5.def.1-8,11,9,10,13,12,14-16,18,17	Boethius (Cassiodorus)		Bayerische Staatsbibliothek		Munich	54r-54v	Fully digitized	CC-BY-SA 3.0		MDZ	http://daten.digitale-sammlungen.de/0004/bsb00042784/images/index.html?fip=193.174.98.30&id=00042784&seite=109
urn:cite:ogl:munich_clm13084	Clm 13084	Manuscript	Latin	800-1000 CE	1.def.19-23, 1.postulates.1-5, 1.axioms.1,3,2,7	Boethius (Corpus agrimensorum)		Bayerische Staatsbibliothek		Munich	53v-54r	Fully digitized	CC-BY-SA 3.0		MDZ	http://daten.digitale-sammlungen.de/0004/bsb00042784/images/index.html?fip=193.174.98.30&id=00042784&seite=108
urn:cite:ogl:munich_clm14111	Clm 14111	Manuscript	Latin	1400-1479 CE				Bayerische Staatsbibliothek		Munich	6r-9r	Fully digitized	CC-BY-SA 3.0		MDZ	http://daten.digitale-sammlungen.de/bsb00033743/image_7
urn:cite:ogl:munich_clm14111	Clm 14111	Manuscript	Latin	1400-1479 CE	10-15(ennunciations only)	Adelard II		Bayerische Staatsbibliothek		Munich	1r-4v	Fully digitized	CC-BY-SA 3.0		MDZ	http://daten.digitale-sammlungen.de/bsb00033743/image_7
urn:cite:ogl:munich_clm14111	Clm 14111	Manuscript	Latin	1400-1479 CE	1.def.1-1.prop.1(beginning)	Campanus de Novara		Bayerische Staatsbibliothek		Munich	202v-203v	Fully digitized	CC-BY-SA 3.0		MDZ	http://daten.digitale-sammlungen.de/bsb00033743/image_7
urn:cite:ogl:munich_clm14353	Clm 14353	Manuscript	Latin	1200-1400 CE	1.def.1-11.prop.5	Adelard II		Bayerische Staatsbibliothek		Munich	78r-93v	Fully digitized	CC BY-NC-SA 4.0	http://daten.digitale-sammlungen.de/bsb00046572/image_154	BSB	http://daten.digitale-sammlungen.de/bsb00046572/image_154
urn:cite:ogl:munich_clm14448	Clm 14448	Manuscript	Latin	1300-1400 CE	1.def.1-6.prop.32	Campanus de Novara		Bayerische Staatsbibliothek		Munich	70r-100v	Fully digitized	CC BY-NC-SA 4.0	http://daten.digitale-sammlungen.de/bsb00046456/image_145	BSB	http://daten.digitale-sammlungen.de/bsb00046456/image_145
urn:cite:ogl:munich_clm18927	Clm 18927	Manuscript	Latin	1200-1300 CE		Liber ysagogarum Alchorismi		Bayerische Staatsbibliothek		Munich	31r-33v	Fully digitized	CC BY-NC-SA 4.0	http://daten.digitale-sammlungen.de/0004/bsb00047479/images/index.html?fip=193.174.98.30&id=00047479&seite=68	BSB	http://daten.digitale-sammlungen.de/0004/bsb00047479/images/index.html?fip=193.174.98.30&id=00047479&seite=68
urn:cite:ogl:munich_clm23511	Clm 23511	Manuscript	Latin	1100-1300 CE		Pseudo-Boethius (Geometry II)		Bayerische Staatsbibliothek		Munich	30r-51v	Not digitized				
urn:cite:ogl:munich_clm23511	Clm 23511	Manuscript	Latin	1200 CE	5-15	Adelard II		Bayerische Staatsbibliothek		Munich	1r-29v	Not digitized				
urn:cite:ogl:munich_clm247	Clm 247	Manuscript	Latin	1400-1500 CE	1-15	Campanus de Novara		Bayerische Staatsbibliothek		Munich	1r-223v	Not digitized				
urn:cite:ogl:munich_clm26889	Clm 26889	Folio	Latin	1350-1400 CE	1.def, 1.post, 1.cn	Adelard II		Bayerische Staatsbibliothek		Munich	187r-187v	Not digitized				
urn:cite:ogl:munich_clm28209	Clm 28209	Manuscript	Latin	1200-1400 CE	1-15	Campanus de Novara		Bayerische Staatsbibliothek		Munich	1r-89v	Not digitized				
urn:cite:ogl:munich_clm3523	Clm 3523	Manuscript	Latin	1200-1300 CE	1.def.1-6.prop.21	Adelard II		Bayerische Staatsbibliothek		Munich	3r-21v	Not digitized				
urn:cite:ogl:munich_clm4024a	Clm 4024a	Manuscript	Latin	1200-1300 CE		Pseudo-Boethius (Geometry I)		Bayerische Staatsbibliothek		Munich	3r-9v	Not digitized			BSB	
urn:cite:ogl:munich_clm4024a	Clm 4024a	Manuscript	Latin	1200-1300 CE		Pseudo-Boethius (Geometry II)		Bayerische Staatsbibliothek		Munich	1v-2v	Not digitized				
urn:cite:ogl:munich_clm4377	Clm 4377	Folio	Latin	1375-1400 CE	1.def, 1.post, 1.cn	Adelard II		Bayerische Staatsbibliothek		Munich	142r-142v	Not digitized				
urn:cite:ogl:munich_clm4377	Clm 4377	Manuscript	Latin	1400-1500 CE	1.def.1-2.prop.4	Campanus de Novara		Bayerische Staatsbibliothek		Munich	196r-200v	Not digitized				
urn:cite:ogl:munich_clm560	Clm 560	Manuscript	Latin	800-900 CE		Pseudo-Boethius (Geometry I)		Bayerische Staatsbibliothek		Munich	122r-149v	Fully digitized	CC-BY-SA 3.0		MDZ	http://daten.digitale-sammlungen.de/0007/bsb00079145/images/index.html?fip=193.174.98.30&id=00079145&seite=263
urn:cite:ogl:munich_clm6	Clm 6	Manuscript	Latin	1500-1600 CE	1-15			Bayerische Staatsbibliothek		Munich		Not digitized				
urn:cite:ogl:munich_arab848	Cod.arab. 848	Manuscript	Arabic			Nasir ad-Din at-Tusi		Bayerische Staatsbibliothek		Munich		Not digitized				
urn:cite:ogl:munich_75	fol. Cod. Ms. 757	Manuscript	Latin	800-825 CE				Universitätsbibliothek der LMU München	Ludwig-Maximilians-Universität München	Munich	1r-2v	Not digitized				
urn:cite:ogl:naples_cclxvii	Cod. CCLXVII (III C. 9)	Manuscript	Greek	1400-1500 CE	1-5			Biblioteca Nazionale di Napoli		Naples		Not digitized				
urn:cite:ogl:naples_va13	MS V A 13	Manuscript	Latin	900-925 CE	1.prop.1-3	Boethius (Corpus agrimensorum)		Biblioteca Nazionale di Napoli		Naples	30v-31v	Not digitized				
urn:cite:ogl:naples_va13	MS V A 13	Manuscript	Latin	900-925 CE		Pseudo-Boethius (Geometry I)		Biblioteca Nazionale di Napoli		Naples	1r-15v	Not digitized				
urn:cite:ogl:naples_viiic20	MS VIII C 20	Manuscript	Latin	1400-1500 CE	1.def.1-10.prop.1(selections)	Campanus de Novara		Biblioteca Nazionale di Napoli		Naples	1r-17v,58r-67v,18r-57v,68r-80v	Not digitized				
urn:cite:ogl:naples_viiic21	MS VIII C 21	Manuscript	Latin	1400-1500 CE	1-15	Campanus de Novara		Biblioteca Nazionale di Napoli		Naples	2r-106v	Not digitized				
urn:cite:ogl:naples_viiic22	MS VIII C 22	Manuscript	Latin	1250-1300 CE	1-15	Adelard II		Biblioteca Nazionale di Napoli		Naples	1r-44v	Not digitized				
urn:cite:ogl:naples_viiig86	MS VIII G 86	Manuscript	Latin	1400-1500 CE	1.def.1-3.prop.12, 3.def.1-5.prop.34	Campanus de Novara		Biblioteca Nazionale di Napoli		Naples	158v-178v	Not digitized				
urn:cite:ogl:naples_pherc1061	P.Herc.1061	Papyrus	Greek		1.def.15			Biblioteca Nazionale Vittorio Emanuele III	Palazzo Reale	Naples		Not digitized				
urn:cite:ogl:nuremberg_centvi13	Cent. VI, 13	Manuscript	Latin	1400-1500 CE	1-15	Campanus de Novara		Stadtbibliothek Nürnberg		Nuremberg	1r-162v	Not digitized				
urn:cite:ogl:newyork_plimpton159	MS Plimpton 159	Manuscript	Latin	1300-1400 CE	1.def.1-3.prop.7(enunciations only)	Campanus de Novara		Rare Book and Manuscript Library	Columbia University	NYC	4v-6v	Not digitized				
urn:cite:ogl:newyork_plimpton164	MS Plimpton 164	Manuscript	Latin	1500-1600 CE		Pseudo-Boethius (Geometry I)		Rare Book and Manuscript Library	Columbia University	NYC	2r-16v	Not digitized				
urn:cite:ogl:newyork_plimptonadd06	Plimpton Add. MS 06	Manuscript	Greek	1525-1550 CE	1.def			Rare Book and Manuscript Library	Columbia University	NYC	1r-2r	Not digitized	The owning institutions encourage use of these materials under the fair use clause of the 1976 copyright act. For the purposes of research, teaching, and private study, you may reproduce (print, make photocopies, or download) materials from this collection without prior permission of the owning institution, on the condition that proper attribution of the source is provided in all copies.	http://bancroft.berkeley.edu/digitalscriptorium/usingimages/	Digital Scriptorium	
urn:cite:ogl:newyork_plimpton062	Plimpton MS 062	Folio	Latin	1100-1199 CE				Rare Book and Manuscript Library	Columbia University	NYC	1r-1v	Partially digitized	The owning institutions encourage use of these materials under the fair use clause of the 1976 copyright act. For the purposes of research, teaching, and private study, you may reproduce (print, make photocopies, or download) materials from this collection without prior permission of the owning institution, on the condition that proper attribution of the source is provided in all copies.	http://bancroft.berkeley.edu/digitalscriptorium/usingimages/	Digital Scriptorium	http://ucblibrary4.berkeley.edu:8088/xtf22/search?smode=basic;text=euclid;rmode=digscript;docsPerPage=1;startDoc=4;fullview=yes
urn:cite:ogl:newyork_plimpton156	Plimpton MS 156	Manuscript	Latin	1300 CE / 1300-1315 CE	1-15	Campanus de Novara		Rare Book and Manuscript Library	Columbia University	NYC	1r-164v	Partially digitized	The owning institutions encourage use of these materials under the fair use clause of the 1976 copyright act. For the purposes of research, teaching, and private study, you may reproduce (print, make photocopies, or download) materials from this collection without prior permission of the owning institution, on the condition that proper attribution of the source is provided in all copies.	http://bancroft.berkeley.edu/digitalscriptorium/usingimages/	Digital Scriptorium	http://ucblibrary4.berkeley.edu:8088/xtf22/search?smode=basic;text=euclid;rmode=digscript;docsPerPage=1;startDoc=5;fullview=yes
urn:cite:ogl:newyork_plimpton157	Plimpton MS 157	Manuscript	Latin	1450-1499 CE / 1400-1499 CE	1	Campanus de Novara		Rare Book and Manuscript Library	Columbia University	NYC	1r-14v	Partially digitized	The owning institutions encourage use of these materials under the fair use clause of the 1976 copyright act. For the purposes of research, teaching, and private study, you may reproduce (print, make photocopies, or download) materials from this collection without prior permission of the owning institution, on the condition that proper attribution of the source is provided in all copies.	http://bancroft.berkeley.edu/digitalscriptorium/usingimages/	Digital Scriptorium	http://ucblibrary4.berkeley.edu:8088/xtf22/search?smode=basic;text=euclid;rmode=digscript;docsPerPage=1;startDoc=6;fullview=yes
urn:cite:ogl:newyork_plimpton158	Plimpton MS 158	Folio	Latin	1300-1399 CE	2.prop.3-7	Campanus de Novara		Rare Book and Manuscript Library	Columbia University	NYC	1r-1v	Fully digitized	The owning institutions encourage use of these materials under the fair use clause of the 1976 copyright act. For the purposes of research, teaching, and private study, you may reproduce (print, make photocopies, or download) materials from this collection without prior permission of the owning institution, on the condition that proper attribution of the source is provided in all copies.	http://bancroft.berkeley.edu/digitalscriptorium/usingimages/	Digital Scriptorium	http://ucblibrary4.berkeley.edu:8088/xtf22/search?smode=basic;text=euclid;rmode=digscript;docsPerPage=1;startDoc=7;fullview=yes
urn:cite:ogl:newyork_plimpton159	Plimpton MS 159	Manuscript	Latin	1300-1399 CE	1.prop.1-3.prop.7(enunciations only)			Rare Book and Manuscript Library	Columbia University	NYC	4v-6v	Partially digitized	The owning institutions encourage use of these materials under the fair use clause of the 1976 copyright act. For the purposes of research, teaching, and private study, you may reproduce (print, make photocopies, or download) materials from this collection without prior permission of the owning institution, on the condition that proper attribution of the source is provided in all copies.	http://bancroft.berkeley.edu/digitalscriptorium/usingimages/	Digital Scriptorium	http://ucblibrary4.berkeley.edu:8088/xtf22/search?field2=text;field1=text;operator2=or;operator1=or;join3=token;join2=token;join1=token;smode=advanced;term3=Euclides;term2=Euklid;term1=Euclid;rmode=digscript;field3=text;docsPerPage=1;fullview=yes;startDoc=8
urn:cite:ogl:newyork_plimpton160	Plimpton MS 160	Manuscript	Latin	1385-1399 CE	1.def.1-3.prop.29,3.prop.8-5.prop.12	Campanus de Novara		Rare Book and Manuscript Library	Columbia University	NYC	1r-31v	Partially digitized	The owning institutions encourage use of these materials under the fair use clause of the 1976 copyright act. For the purposes of research, teaching, and private study, you may reproduce (print, make photocopies, or download) materials from this collection without prior permission of the owning institution, on the condition that proper attribution of the source is provided in all copies.	http://bancroft.berkeley.edu/digitalscriptorium/usingimages/	Digital Scriptorium	http://ucblibrary4.berkeley.edu:8088/xtf22/search?smode=basic;text=euclid;rmode=digscript;docsPerPage=1;startDoc=9;fullview=yes
urn:cite:ogl:newyork_plimpton165	Plimpton MS 165	Manuscript	Latin	1285-1299 CE	1-15	Campanus de Novara		Rare Book and Manuscript Library	Columbia University	NYC	29v-139v / 29v-140v	Partially digitized	The owning institutions encourage use of these materials under the fair use clause of the 1976 copyright act. For the purposes of research, teaching, and private study, you may reproduce (print, make photocopies, or download) materials from this collection without prior permission of the owning institution, on the condition that proper attribution of the source is provided in all copies.	http://bancroft.berkeley.edu/digitalscriptorium/usingimages/	Digital Scriptorium	http://ucblibrary4.berkeley.edu:8088/xtf22/search?smode=basic;text=euclid;rmode=digscript;docsPerPage=1;startDoc=11;fullview=yes
urn:cite:ogl:newyork_plimpton214	Plimpton MS 214	Manuscript	Latin	1500-1515 CE / 1500-1599 CE	1-3	Zambertus		Rare Book and Manuscript Library	Columbia University	NYC	1r-154v / 2r-153v	Partially digitized	The owning institutions encourage use of these materials under the fair use clause of the 1976 copyright act. For the purposes of research, teaching, and private study, you may reproduce (print, make photocopies, or download) materials from this collection without prior permission of the owning institution, on the condition that proper attribution of the source is provided in all copies.	http://bancroft.berkeley.edu/digitalscriptorium/usingimages/	Digital Scriptorium	http://ucblibrary4.berkeley.edu:8088/xtf22/search?smode=basic;text=euclid;rmode=digscript;docsPerPage=1;startDoc=14;fullview=yes
urn:cite:ogl:newyork_plimpton250	Plimpton MS 250	Manuscript	Latin	1500 CE		Pseudo-Boethius (Geometry II)		Rare Book and Manuscript Library	Columbia University	NYC	98r-129v	Partially digitized	The owning institutions encourage use of these materials under the fair use clause of the 1976 copyright act. For the purposes of research, teaching, and private study, you may reproduce (print, make photocopies, or download) materials from this collection without prior permission of the owning institution, on the condition that proper attribution of the source is provided in all copies.	http://bancroft.berkeley.edu/digitalscriptorium/usingimages/	Digital Scriptorium	http://ucblibrary4.berkeley.edu:8088/xtf22/search?smode=basic;text=plimpton%20250;rmode=digscript;docsPerPage=1;startDoc=1;fullview=yes
urn:cite:ogl:oxford_auctf6_23	Auct. F. 6. 23.	Manuscript	Greek	1300-1400 CE				Bodleian Library	University of Oxford	Oxford		Not digitized				
urn:cite:ogl:oxford_balliol257	Collegii Balliolensis CCLVII	Manuscript	Latin	1175-1200 CE	1.def.1-15.prop.3	Adelard III		Balliol College	University of Oxford	Oxford	2r-98v	Not digitized				
urn:cite:ogl:oxford_trinity47	Collegii S. Trinitatis XLVII	Manuscript	Latin	1100-1200 CE	1.def.1-8.prop.22	Adelard I		Bodleian Library	University of Oxford	Oxford	171r-180v,163r-170v,155r-162v,147r-154v,139r-146v	Not digitized				
urn:cite:ogl:oxford_trinity47	Collegii S. Trinitatis XLVII	Manuscript	Latin	1100-1200 CE	1-15	Adelard II		Bodleian Library	University of Oxford	Oxford	104v-138v	Not digitized				
urn:cite:ogl:oxford_dorville301	MS. D'Orville 301	Manuscript	Greek	888 CE	1-15			Bodleian Library	University of Oxford	Oxford		Fully digitized	Conditions of Access: By permission of The Bodleian Library, University of Oxford	http://bodley30.bodley.ox.ac.uk:8180/luna/servlet/view/all/what/MS.+D'Orville+301+(formerly+Auct.+X.+1.+inf.+2.+30	LUNA	http://bodley30.bodley.ox.ac.uk:8180/luna/servlet/view/all/what/MS.+D'Orville+301+(formerly+Auct.+X.+1.+inf.+2.+30)
urn:cite:ogl:oxford_corpuschristi224	MS 224	Manuscript	Latin	1200-1300 CE	1-15(ennunciations only)	Adelard II		Corpus Christi College	University of Oxford	Oxford	114r-138v	Not digitized				
urn:cite:ogl:oxford_corpuschristi234	MS 234	Manuscript	Latin	1400-1500 CE		Campanus de Novara		Corpus Christi College	University of Oxford	Oxford		Not digitized				
urn:cite:ogl:oxford_corpuschristi251	MS 251	Manuscript	Latin	1200-1300 CE	1-15	Adelard II		Corpus Christi College	University of Oxford	Oxford	22r-83v	Not digitized				
urn:cite:ogl:oxford_bodlcanon309	Cod. Bodl. Canon., 309	Manuscript	Latin		1-15	Campanus de Novara		Bodleian Library	University of Oxford	Oxford		Not digitized				
		Manuscript	Greek		1-13			Bodleian Library	University of Oxford	Oxford		Not digitized				
urn:cite:ogl:oxford_lincolngraec33		Manuscript	Greek	1500-1600 CE	(excerpts)			Lincoln College	University of Oxford	Oxford		Not digitized				
urn:cite:ogl:oxford_ashmolean357	Ashmolean No. 357	Manuscript	Latin	1250-1300 CE	11.def.1-11.prop.35	Adelard II		Bodleian Library	University of Oxford	Oxford	71r-75v	Not digitized				
urn:cite:ogl:oxford_auctf3_16	Auct. F. 3. 16.	Manuscript	Greek	1400-1500 CE				Bodleian Library	University of Oxford	Oxford		Not digitized				
urn:cite:ogl:oxford_auctf3_13	Auctarium F.3.13	Manuscript	Latin	1250-1300 CE	1-15	Adelard II		Bodleian Library	University of Oxford	Oxford	1r-48v	Not digitized				
urn:cite:ogl:oxford_auctf5_28	Auctarium F.5.28	Manuscript	Latin	1200-1250 CE	1-15	Adelard II		Bodleian Library	University of Oxford	Oxford	ii-xliv,1r-15v	Partially digitized			LUNA	http://bodley30.bodley.ox.ac.uk:8180/luna/servlet/detail/ODLodl~1~1~32762~111179:Elementa-?sort=Shelfmark&qvq=w4s:/who/Euclid;sort:Shelfmark;lc:ODLodl~29~29,ODLodl~7~7,ODLodl~6~6,ODLodl~14~14,ODLodl~8~8,ODLodl~23~23,ODLodl~1~1,ODLodl~24~24&mi=0&trs=404
urn:cite:ogl:oxford_auctf5_29	Auctarium F.5.29	Manuscript	Latin	1275-1300 CE	1.def.1-8.prop.10	Adelard II		Bodleian Library	University of Oxford	Oxford	132r-158v	Not digitized				
urn:cite:ogl:oxford_latin309	Latini 309	Manuscript	Latin	1400-1500 CE	1.prop.2(end)-15.end	Campanus de Novara		Bodleian Library	University of Oxford	Oxford	1r-89v	Not digitized				
urn:cite:ogl:oxford_misc145	Miscellanei 145	Folio	Latin	1400-1500 CE	3.def.all, 3.prop.1(porism), 3.prop.2-7(enunciations only)	Gerard of Gremona		Bodleian Library	University of Oxford	Oxford	307r-307v	Not digitized				
urn:cite:ogl:oxford_misc200	Miscellanei 200	Manuscript	Latin	1400-1500 CE	1.def.1-5.def.1	Campanus de Novara		Bodleian Library	University of Oxford	Oxford	37r-78v	Not digitized				
urn:cite:ogl:oxford_misc554	Miscellanei 554	Manuscript	Latin	1400-1500 CE	1-6	Campanus de Novara		Bodleian Library	University of Oxford	Oxford	1r-73v	Not digitized				
urn:cite:ogl:oxford_or448	MS Bodl. Or. n°448	Manuscript	Arabic	1200-1300 CE		Ibn Abi al-Shukr al-Maghribi		Bodleian Library	University of Oxford	Oxford		Not digitized				
urn:cite:ogl:oxford_huntington308	MS Huntington 308	Manuscript	Arabic			Nasir ad-Din at-Tusi		Bodleian Library	University of Oxford	Oxford		Not digitized				
urn:cite:ogl:oxford_digby174	MS Kenelmi Digby 174	Folio	Latin	1200-1300 CE	11.prop.1-4	Hermann of Carinthia		Bodleian Library	University of Oxford	Oxford	160r-160v	Not digitized				
urn:cite:ogl:oxford_digby174	MS Kenelmi Digby 174	Manuscript	Latin	1200-1300 CE	11.prop.5-14.prop.1	Gerard of Gremona		Bodleian Library	University of Oxford	Oxford	160v-173v	Not digitized				
urn:cite:ogl:oxford_digby174	MS Kenelmi Digby 174	Manuscript	Latin	1200-1300 CE	1-11, 1.def.1-5.prop.2, 6.prop.11-10.end	Adelard III		Bodleian Library	University of Oxford	Oxford	99r-132v,139r-145v,146r-153v,154r-159v	Not digitized				
urn:cite:ogl:oxford_digby191	MS Kenelmi Digby 191	Manuscript	Latin	1300-1400 CE	1-15	Campanus de Novara		Bodleian Library	University of Oxford	Oxford	1r-66v	Not digitized				
urn:cite:ogl:oxford_digby98	MS Kenelmi Digby 98	Manuscript	Latin	1100-1200 CE	1.def.1-3.def.4	"Mélanges"		Bodleian Library	University of Oxford	Oxford	78r-85v	Not digitized				
urn:cite:ogl:oxford_marsh373	MS Marsh 373	Manuscript	Arabic	1500-1600 CE		Nasir ad-Din at-Tusi		Bodleian Library	University of Oxford	Oxford		Not digitized				
urn:cite:ogl:oxford_marsh621	MS Marsh 621	Manuscript	Arabic			Nasir ad-Din at-Tusi		Bodleian Library	University of Oxford	Oxford		Not digitized				
urn:cite:ogl:oxford_pococke368	MS Pococke 368	Manuscript	Hebrew			Isaac be Elijah ben Aron ha-Kohen of Syracuse		Bodleian Library	University of Oxford	Oxford		Fully digitized	CC BY-NC-SA 3.0			http://viewer.bodleian.ox.ac.uk/icv/page.php?book=ms._pococke_368&page=22
urn:cite:ogl:oxford_archseldenb13	MS. Arch. Selden. B. 13	Manuscript	Latin	1200-1300 CE	1-15	Campanus de Novara		Bodleian Library	University of Oxford	Oxford	3r-65v	Partially digitized			LUNA	http://bodley30.bodley.ox.ac.uk:8180/luna/servlet/view/search?QuickSearchA=QuickSearchA&q=%22arch.+selden+b.+13%22&search=Search
urn:cite:ogl:oxford_barocci161	MS. Barocci 161	Manuscript	Greek	1400-1500 CE	1.def			Bodleian Library	University of Oxford	Oxford	381r-381v	Fully digitized	CC BY-NC-SA 3.0			http://viewer.bodleian.ox.ac.uk/icv/page.php?book=ms._barocci_161
urn:cite:ogl:oxford_dorville69	MS. D'Orville 69	Manuscript	Greek	1500 CE	1.def			Bodleian Library	University of Oxford	Oxford		Not digitized				
urn:cite:ogl:oxford_dorville70	MS. D'Orville 70	Manuscript	Latin	1300-1400 CE	1-15			Bodleian Library	University of Oxford	Oxford		Not digitized				
urn:cite:ogl:oxford_dorville70	MS. D'Orville 70	Manuscript	Latin	1200-1400 CE	10.prop.36-15.prop.2	Adelard I		Bodleian Library	University of Oxford	Oxford	39r-71v	Not digitized				
urn:cite:ogl:oxford_dorville70	MS. D'Orville 70	Folio	Latin	1200-1300 CE	10.intro	Adelard II		Bodleian Library	University of Oxford	Oxford	38r-38v	Not digitized				
urn:cite:ogl:oxford_dorville70	MS. D'Orville 70	Manuscript	Latin	1200-1300 CE	7.prop.7-10.prop.36	Adelard III		Bodleian Library	University of Oxford	Oxford	23v-38v	Not digitized				
urn:cite:ogl:oxford_douce125	MS. Douce 125	Manuscript	Latin	1000-1100 CE		Pseudo-Boethius (Geometry I)		Bodleian Library	University of Oxford	Oxford	p.1-67	Partially digitized			LUNA	http://bodley30.bodley.ox.ac.uk:8180/luna/servlet/view/all/what/MS.+Douce+125
urn:cite:ogl:oxford_huntington435	MS. Huntington 435	Manuscript	Arabic		1.prop.13-15.end	Ishaq-Thabit		Bodleian Library	University of Oxford	Oxford	1r-217v	Not digitized				
urn:cite:ogl:oxford_lyell52	MS. Lyell 52	Manuscript	Latin	1300-1400 CE		Liber ysagogarum Alchorismi		Bodleian Library	University of Oxford	Oxford	21r-34v	Not digitized				
urn:cite:ogl:oxford_reggio6	MS. Reggio 6	Manuscript	Hebrew			Isak Israeli		Bodleian Library	University of Oxford	Oxford		Fully digitized	CC BY-NC-SA 3.0			http://viewer.bodleian.ox.ac.uk/icv/page.php?book=ms._reggio_6&page=22
urn:cite:ogl:oxford_thurston11	MS. Thurston 11	Manuscript	Arabic	1237 CE	1-15	Ishaq-Thabit		Bodleian Library	University of Oxford	Oxford	1r-212v	Partially digitized	Conditions of Access for Image: By permission of The Bodleian Library, University of Oxford		LUNA	http://bodley30.bodley.ox.ac.uk:8180/luna/servlet/detail/ODLodl~23~23~114033~140886:Leaf-?qvq=q:thurston;lc:ODLodl~29~29,ODLodl~7~7,ODLodl~6~6,ODLodl~14~14,ODLodl~8~8,ODLodl~23~23,ODLodl~1~1,ODLodl~24~24&mi=0&trs=3
urn:cite:ogl:oxford_savile13	Savile 13	Manuscript	Greek	1300-1400 CE	1-15			Bodleian Library	University of Oxford	Oxford		Not digitized				
urn:cite:ogl:oxford_savile19	Savile 19	Manuscript	Latin	1200-1300 CE	1.def, 2.def, 3.def, 4.def	Adelard III		Bodleian Library	University of Oxford	Oxford	1r-37v	Not digitized				
urn:cite:ogl:oxford_savile19	Savile 19	Manuscript	Latin	1200-1300 CE	6.prop.1-15.end	Campanus de Novara		Bodleian Library	University of Oxford	Oxford	37r-156v	Not digitized				
urn:cite:ogl:oxford_corpuschristi283	MS 283	Manuscript	Latin	1300 CE	10.def.1-11.prop.3	Adelard II		Corpus Christi College	University of Oxford	Oxford	50r-65v	Not digitized				
urn:cite:ogl:padua_lat1077	MS Lat.1077	Manuscript	Latin	1300-1400 CE	1.def.1-1.prop.38	Campanus de Novara		Biblioteca Universitaria di Padova		Padua	1r-15v	Not digitized				
urn:cite:ogl:palermo_2qqe98	2Qq E 98	Manuscript	Latin	1300-1400 CE	1.def.1-10.prop.17	Gerard of Gremona		Biblioteca Comunale di Palermo		Palermo	1r-83v	Not digitized				
urn:cite:ogl:paris_grec2342	Grec 2342	Manuscript	Greek	1300-1400 CE	1.prop.32-13.end		Département des manuscrits	Bibliothèque Nationale de France		Paris		Not digitized				
urn:cite:ogl:paris_grec2343	Grec 2343	Manuscript	Greek	1500-1600 CE	1-15		Département des manuscrits	Bibliothèque Nationale de France		Paris		Not digitized				
urn:cite:ogl:paris_grec2344	Grec 2344	Manuscript	Greek	1100-1200 CE	1.def.1-8.prop.25, 9.prop.14-13.end		Département des manuscrits	Bibliothèque Nationale de France		Paris		Not digitized				
urn:cite:ogl:paris_grec2345	Grec 2345	Manuscript	Greek	1200-1300 CE	1-13		Département des manuscrits	Bibliothèque Nationale de France		Paris		Not digitized				
urn:cite:ogl:paris_grec2346	Grec 2346	Manuscript	Greek	1400-1500 CE	1-13		Département des manuscrits	Bibliothèque Nationale de France		Paris		Not digitized				
urn:cite:ogl:paris_grec2366	Grec 2366	Manuscript	Greek	1500-1600 CE			Département des manuscrits	Bibliothèque Nationale de France		Paris		Not digitized				
urn:cite:ogl:paris_grec2466	Grec 2466	Manuscript	Greek	1100-1200 CE	1-13		Département des manuscrits	Bibliothèque Nationale de France		Paris		Not digitized				
urn:cite:ogl:paris_grec2481	Grec 2481	Manuscript	Greek	1400-1500 CE	1-10		Département des manuscrits	Bibliothèque Nationale de France		Paris		Not digitized				
urn:cite:ogl:paris_grec2531	Grec 2531	Manuscript	Greek	1400-1500 CE	1-13		Département des manuscrits	Bibliothèque Nationale de France		Paris		Not digitized				
urn:cite:ogl:paris_grec2547	Grec 2547	Manuscript	Greek	1500-1550 CE	1-13		Département des manuscrits	Bibliothèque Nationale de France		Paris		Not digitized				
urn:cite:ogl:paris_grec2373	Grec 2373	Manuscript	Greek	1301-1400 CE	1-7.prop.9			Bibliothèque Nationale de France		Paris	37r-105v	Fully digitized	Public domain	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f79.image.r=euclide.langEN	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f79.image.r=euclide.langEN
