Temp ID	Image Path	Image Width	Image Height	X Offset	Y Offset	X Width	Y Height
heiberg-diag-0719	heiberg_1888_v5_1_0953.jpg	2602	4006	204	2058	1122	210
heiberg-diag-0713	heiberg_1888_v5_1_0945.jpg	2602	4006	210	2226	1212	480
heiberg-diag-0710	heiberg_1888_v5_1_0942.jpg	2602	4006	1560	930	816	444
heiberg-diag-0693	heiberg_1888_v5_1_0937.jpg	2602	4006	1146	1500	204	114
heiberg-diag-0594	heiberg_1888_v5_1_0500.jpg	2630	4008	486	1554	1662	690
heiberg-diag-0623	heiberg_1888_v5_1_0749.jpg	2600	4018	384	2394	1530	192
heiberg-diag-0609	heiberg_1888_v5_1_0672.jpg	2602	4000	498	2154	516	210
heiberg-diag-0696	heiberg_1888_v5_1_0937.jpg	2602	4006	1914	1494	372	192
heiberg-diag-0656	heiberg_1888_v5_1_0884.jpg	2602	4006	522	780	762	618
heiberg-diag-0636	heiberg_1888_v5_1_0815.jpg	2588	4012	120	948	792	708
heiberg-diag-0642	heiberg_1888_v5_1_0834.jpg	2588	4012	240	2028	1770	852
heiberg-diag-0711	heiberg_1888_v5_1_0944.jpg	2602	4006	1416	876	948	288
heiberg-diag-0552	heiberg_1888_v5_1_0137.jpg	2592	4000	168	1038	924	1020
heiberg-diag-0652	heiberg_1888_v5_1_0867.jpg	2602	4006	210	1896	792	792
heiberg-diag-0601	heiberg_1888_v5_1_0659.jpg	2602	4000	60	1122	1038	708
heiberg-diag-0654	heiberg_1888_v5_1_0881.jpg	2602	4006	198	1842	1176	522
heiberg-diag-0699	heiberg_1888_v5_1_0937.jpg	2602	4006	996	1968	162	240
heiberg-diag-0669	heiberg_1888_v5_1_0929.jpg	2602	4006	300	1098	1104	534
heiberg-diag-0579	heiberg_1888_v5_1_0388.jpg	2630	4014	1776	312	732	534
heiberg-diag-0549	heiberg_1888_v5_1_0129.jpg	2592	4000	222	1326	1998	1182
heiberg-diag-0550	heiberg_1888_v5_1_0133.jpg	2592	4000	180	1554	888	798
heiberg-diag-0633	heiberg_1888_v5_1_0813.jpg	2588	4012	126	780	2070	546
heiberg-diag-0684	heiberg_1888_v5_1_0936.jpg	2602	4006	420	1290	648	480
heiberg-diag-0653	heiberg_1888_v5_1_0880.jpg	2602	4006	1494	1344	882	912
heiberg-diag-0578	heiberg_1888_v5_1_0385.jpg	2630	4014	150	1242	774	516
heiberg-diag-0680	heiberg_1888_v5_1_0932.jpg	2602	4006	1740	714	630	750
heiberg-diag-0613	heiberg_1888_v5_1_0677.jpg	2602	4000	114	774	498	522
heiberg-diag-0694	heiberg_1888_v5_1_0937.jpg	2602	4006	1326	1068	402	198
heiberg-diag-0697	heiberg_1888_v5_1_0937.jpg	2602	4006	300	1962	162	156
heiberg-diag-0682	heiberg_1888_v5_1_0935.jpg	2602	4006	150	990	624	630
heiberg-diag-0571	heiberg_1888_v5_1_0314.jpg	2620	4008	1650	2412	744	546
heiberg-diag-0666	heiberg_1888_v5_1_0921.jpg	2602	4006	606	894	1278	1122
heiberg-diag-0582	heiberg_1888_v5_1_0400.jpg	2630	4014	1212	570	1200	840
heiberg-diag-0576	heiberg_1888_v5_1_0346.jpg	2620	4008	1830	1308	600	342
heiberg-diag-0603	heiberg_1888_v5_1_0659.jpg	2602	4000	966	2178	576	192
heiberg-diag-0610	heiberg_1888_v5_1_0672.jpg	2602	4000	1092	2142	516	210
heiberg-diag-0566	heiberg_1888_v5_1_0183.jpg	2592	4000	330	1446	1770	804
heiberg-diag-0548	heiberg_1888_v5_1_0127.jpg	2592	4000	150	1962	876	960
heiberg-diag-0570	heiberg_1888_v5_1_0304.jpg	2620	4008	1926	918	498	486
heiberg-diag-0695	heiberg_1888_v5_1_0937.jpg	2602	4006	1638	1506	180	156
heiberg-diag-0661	heiberg_1888_v5_1_0916.jpg	2602	4006	504	618	1668	1374
heiberg-diag-0599	heiberg_1888_v5_1_0656.jpg	2602	4000	1362	558	996	414
heiberg-diag-0675	heiberg_1888_v5_1_0930.jpg	723	1079	372	412	252	136
heiberg-diag-0660	heiberg_1888_v5_1_0910.jpg	2602	4006	1608	738	810	720
heiberg-diag-0709	heiberg_1888_v5_1_0941.jpg	2602	4006	192	606	1116	786
